**Legend**
* 
* Marine mooring data provided by King County are preliminary and have not received final approval, unless specified.
* Real-time automatic checks are done to determine if values are outside of sensor ranges or if data are missing, and further data review is performed by data managers on a semi-annual basis. 
* Inaccuracies in the data may be present because of instrument malfunctions.
* Subsequent review may result in significant revisions to the data.
* 
* Data users are cautioned to consider carefully the provisional nature of this data before using it for decisions.
* Prior to using data in publications and for appropriate citation, contact the Marine and Sediment Assessment Group (MarineWQ@kingcounty.gov).
* 
* ----PARAMETERS---
* 
* Starting on Feb. 15, 2017, the SBE HydroCAT-EP sonde will be used at this site for water data. Previously, YSI 6600 V2 sondes were used. The sonde type and unique identifier is stored under ‘Sonde_ID’ column. Satlantic SUNA and SeaFET sensors for are used for nitrate and high-precision pH, respectively.
* Meteorological data collection began in March , 2019 using a Vaisala WXT510 station and RM Young wind monitor HD.
* Parameter names denote measurement unit. Parameters ending in V represent raw voltage values or battery volts. 
* For more details, see mooring specifications: https://green2.kingcounty.gov/marine-buoy/
* 
* Note on the SeaFET: There are several pH parameters reported. The SeaFET measures pH in two ways, using an internal and an external reference. For details, please refer to the SeaFET documentation at www.satlantic.com
* For most users, refer to ‘SeaFET_EXT_pH_wSal’. This value uses the external reference and is automatically recalculated using in-situ salinity.  If salinity data are missing, then the default salinity of 30 PSU is used and pH is qualified as interpolated.
* Methods follow Bresnahan et. al, 2014, Best practices for autonomous measurement of seawater pH with the Durafet, Methods in Oceanography: 44-60.
* For the SUNA nitrate data, refer to ‘SUNA_ Nitrite+Nitrate_N_mg/L_final’ when available, as these data are finalized and, when feasible, corrected for drift following the methods in Pellerin et. al 2013, USGS Techniques and Methods 1-D5
* Site coordinate: Lat 47.53716, Long -122.40612 
* ----QUALIFIER CODES----
* Data for each parameter are followed by a 3-digit qualifier column (where the parameter name is preceded by Qual_). The quality and level of quality control (QC) is denoted for each data value.
* 
*  Summary Qualifier – 1st digit - Denotes status and overall quality of data.
* <1 . . > Finalized – Good – passed secondary review by data manager.
* <2 . . > Provisional – Good – passed initial automatic quality control check.  
* <3 . . > Questionable/suspect data. Use data with much caution.
* <4 . . > Poor/bad data. Avoid using this data.
* <9 . . > Missing data.
*
* Primary Qualifier – 2nd digit – Automatic QC flag.
* <. 0 . > Quality unknown for parameter. Avoid using this data without further review.
* <. 1 . > Passed automatic quality control checks.
* <. 2 . > Sensor failed end check validation after recovery.
* <. 3 . > Value is outside of climatological range by site.
* <. 4 . > Value is outside of measurement range for sensor.
* <. 8 . > Interpolated value, or used an interpolated input value in the calculation. For example, if salinity is missing, then a default salinity is used to calculate pH. 
* <. 9 . > Missing data.
*
* Secondary Qualifier – 3rd digit – Manually applied QC flag after data review by data manager.
* <. . 0> No secondary review completed – Default value.
* <. . 1> Good data, no adjustments made.
* <. . 2> Probably good data, no adjustments made (e.g. sensor failed end check, but previous data looks good).
* <. . 3> Questionable/suspect data (e.g. sensor drift).
* <. . 4> Poor/bad data.
* <. . 5> Value corrected/changed manually.
* <. . 8> Interpolated value, or used an interpolated input value in the calculation. 
* <. . 9> Missing data.
***END***
Date	Depth_m	Qual_Depth	Water_Temperature_degC	Qual_Water_Temperature	Salinity_PSU	Qual_Salinity	Dissolved_Oxygen_%Sat	Dissolved_Oxygen_mg/L	Qual_DO	Chlorophyll_Fluorescence_ug/L	Qual_Chlorophyll_Fluorescence	Turbidity_NTU	Qual_Turbidity	Sonde_pH	Qual_Sonde_pH	SUNA_Nitrite+Nitrate_mgN/L_raw	Qual_SUNA_Nitrite+Nitrate_mgN/L_raw	SUNA_Nitrite+Nitrate_mgN/L_final	Qual_SUNA_Nitrite+Nitrate_mgN/L_final	Density_kg/m^3	Qual_Water_Density	Air_Temperature_F	Qual_Air_Temperature	Surf_PAR_umol/s/sqm	Qual_Surf_PAR	Rel_Humidity_%	Qual_Rel_Hum	Wind_Direction_deg	Qual_Wind_Direction	Wind_Speed_m/sec	Qual_Wind_Speed	SeaFET_External_pH_final_recalc	Qual_SeaFET_External_pH_final_recalc	SeaFET_Internal_pH_raw	Qual_SeaFET_Internal_pH_raw	SeaFET_Internal_pH_recalculated	Qual_SeaFET_Internal_pH_recalculated	SeaFET_Temperature_degC	Qual_SeaFET_Temperature	SeaFET_External_pH_recalc_w_salinity	Qual_SeaFET_External_pH_recalc_w_salinity	Sonde_Batt_V	Logger_Batt_V	Sonde_ID	SEAFET_INT_PH_V	SEAFET_EXT_PH_V	SeaFET_ID	
2/3/2023 12:00:00 AM	0.449	210	8.448	210	29.701	210	80.0	7.73	210	0.53	210	0.33	210	7.76	210	0.423	210			1023.05423	210	45.3	210	0.17	330	67.9	210	21.76	210	1.31	210		999	7.619	300		999	8.521	210	8.861	330	13.8	12.4		-0.936135	-0.889088		
2/3/2023 12:15:00 AM	0.446	210	8.430	210	29.695	210	80.2	7.76	210	0.56	210	0.32	210	7.77	210	0.423	210			1023.05209	210	44.7	210	0.17	330	67.0	210	31.93	210	1.81	210		999	7.619	300		999	8.517	210	8.861	330	13.8	12.4		-0.936155	-0.889117		
2/3/2023 12:30:00 AM	0.448	210	8.423	210	29.698	210	80.2	7.76	210	0.52	210	0.32	210	7.77	210	0.429	210			1023.05613	210	44.9	210	0.17	330	65.3	210	41.49	210	0.99	210		999	7.619	300		999	8.506	210	8.861	330	13.8	12.4		-0.936106	-0.889100		
2/3/2023 12:45:00 AM	0.448	210	8.422	210	29.698	210	80.3	7.76	210	0.58	210	0.31	210	7.77	210	0.435	210			1023.05622	210	44.9	210	0.17	330	65.8	210	59.29	210	0.70	210		999	7.618	300		999	8.510	210	8.860	330	13.8	12.4		-0.936192	-0.889154		
2/3/2023 1:00:00 AM	0.451	210	8.417	210	29.699	210	80.2	7.76	210	0.50	210	0.30	210	7.77	210	0.423	210			1023.05763	210	44.4	210	0.17	330	64.8	210	32.68	210	1.44	210		999	7.616	300		999	8.511	210	8.858	330	13.8	12.4		-0.936320	-0.889267		
2/3/2023 1:15:00 AM	0.444	210	8.417	210	29.703	210	80.3	7.77	210	0.57	210	0.31	210	7.77	210	0.434	210			1023.06054	210	44.0	210	0.17	330	65.6	210	47.43	210	1.42	210		999	7.619	300		999	8.499	210	8.862	330	13.8	12.4		-0.936123	-0.889091		
2/3/2023 1:30:00 AM	0.441	210	8.434	210	29.700	210	80.2	7.75	210	0.51	210	0.32	210	7.77	210	0.432	210			1023.05454	210	44.2	210	0.17	330	62.3	210	23.23	210	1.44	210		999	7.617	300		999	8.509	210	8.859	330	13.8	12.4		-0.936261	-0.889243		
2/3/2023 1:45:00 AM	0.436	210	8.424	210	29.697	210	80.4	7.77	210	0.57	210	0.31	210	7.77	210	0.427	210			1023.05371	210	44.9	210	0.17	330	60.7	210	326.15	210	0.00	210		999	7.620	300		999	8.494	210	8.862	330	13.8	12.4		-0.936073	-0.889075		
2/3/2023 2:00:00 AM	0.441	210	8.418	210	29.693	210	80.5	7.78	210	0.56	210	0.30	210	7.77	210	0.422	210			1023.05141	210	46.0	210	0.17	330	67.8	210	309.46	210	1.70	210		999	7.621	300		999	8.489	210	8.863	330	13.8	12.3		-0.936019	-0.889011		
2/3/2023 2:15:00 AM	0.441	210	8.401	210	29.689	210	80.6	7.80	210	0.60	210	0.30	210	7.77	210	0.438	210			1023.05075	210	45.8	210	0.17	330	70.1	210	281.88	210	1.41	210		999	7.622	300		999	8.485	210	8.865	330	13.8	12.4		-0.935972	-0.888909		
2/3/2023 2:30:00 AM	0.414	210	8.367	210	29.687	210	80.8	7.82	210	0.52	210	0.30	210	7.77	210	0.418	210			1023.05408	210	44.4	210	0.17	330	70.5	210	64.58	210	2.26	210		999	7.625	300		999	8.464	210	8.867	330	13.8	12.4		-0.935833	-0.888825		
2/3/2023 2:45:00 AM	0.429	210	8.390	210	29.690	210	80.8	7.82	210	0.59	210	0.29	210	7.77	210	0.422	210			1023.05280	210	45.3	210	0.17	330	66.8	210	49.54	210	1.66	210		999	7.626	300		999	8.444	210	8.869	330	13.8	12.4		-0.935734	-0.888712		
2/3/2023 3:00:00 AM	0.437	210	8.389	210	29.694	210	80.6	7.80	210	0.55	210	0.30	210	7.77	210	0.421	210			1023.05638	210	45.1	210	0.17	330	60.0	210	29.14	210	2.88	210		999	7.624	300		999	8.470	210	8.866	330	13.8	12.3		-0.935859	-0.888844		
2/3/2023 3:15:00 AM	0.430	210	8.394	210	29.692	210	80.6	7.80	210	0.55	210	0.30	210	7.77	210	0.437	210			1023.05388	210	46.5	210	0.17	330	52.4	210	38.46	210	2.05	210		999	7.625	300		999	8.468	210	8.867	330	13.8	12.4		-0.935824	-0.888800		
