**Legend**
* 
* Marine mooring data provided by King County are preliminary and have not received final approval, unless specified.
* Real-time automatic checks are done to determine if values are outside of sensor ranges or if data are missing, and further data review is performed by data managers on a semi-annual basis. 
* Inaccuracies in the data may be present because of instrument malfunctions.
* Subsequent review may result in significant revisions to the data.
* 
* Data users are cautioned to consider carefully the provisional nature of this data before using it for decisions.
* Prior to using data in publications and for appropriate citation, contact the Marine and Sediment Assessment Group (MarineWQ@kingcounty.gov).
* 
* ----PARAMETERS---
* 
* Starting on Feb. 15, 2017, the SBE HydroCAT-EP sonde will be used at this site for water data. Previously, YSI 6600 V2 sondes were used. The sonde type and unique identifier is stored under ‘Sonde_ID’ column. Satlantic SUNA and SeaFET sensors for are used for nitrate and high-precision pH, respectively.
* Meteorological data collection began in March , 2019 using a Vaisala WXT510 station and RM Young wind monitor HD.
* Parameter names denote measurement unit. Parameters ending in V represent raw voltage values or battery volts. 
* For more details, see mooring specifications: https://green2.kingcounty.gov/marine-buoy/
* 
* Note on the SeaFET: There are several pH parameters reported. The SeaFET measures pH in two ways, using an internal and an external reference. For details, please refer to the SeaFET documentation at www.satlantic.com
* For most users, refer to ‘SeaFET_EXT_pH_wSal’. This value uses the external reference and is automatically recalculated using in-situ salinity.  If salinity data are missing, then the default salinity of 30 PSU is used and pH is qualified as interpolated.
* Methods follow Bresnahan et. al, 2014, Best practices for autonomous measurement of seawater pH with the Durafet, Methods in Oceanography: 44-60.
* For the SUNA nitrate data, refer to ‘SUNA_ Nitrite+Nitrate_N_mg/L_final’ when available, as these data are finalized and, when feasible, corrected for drift following the methods in Pellerin et. al 2013, USGS Techniques and Methods 1-D5
* Site coordinate: Lat 47.53716, Long -122.40612 
* ----QUALIFIER CODES----
* Data for each parameter are followed by a 3-digit qualifier column (where the parameter name is preceded by Qual_). The quality and level of quality control (QC) is denoted for each data value.
* 
*  Summary Qualifier – 1st digit - Denotes status and overall quality of data.
* <1 . . > Finalized – Good – passed secondary review by data manager.
* <2 . . > Provisional – Good – passed initial automatic quality control check.  
* <3 . . > Questionable/suspect data. Use data with much caution.
* <4 . . > Poor/bad data. Avoid using this data.
* <9 . . > Missing data.
*
* Primary Qualifier – 2nd digit – Automatic QC flag.
* <. 0 . > Quality unknown for parameter. Avoid using this data without further review.
* <. 1 . > Passed automatic quality control checks.
* <. 2 . > Sensor failed end check validation after recovery.
* <. 3 . > Value is outside of climatological range by site.
* <. 4 . > Value is outside of measurement range for sensor.
* <. 8 . > Interpolated value, or used an interpolated input value in the calculation. For example, if salinity is missing, then a default salinity is used to calculate pH. 
* <. 9 . > Missing data.
*
* Secondary Qualifier – 3rd digit – Manually applied QC flag after data review by data manager.
* <. . 0> No secondary review completed – Default value.
* <. . 1> Good data, no adjustments made.
* <. . 2> Probably good data, no adjustments made (e.g. sensor failed end check, but previous data looks good).
* <. . 3> Questionable/suspect data (e.g. sensor drift).
* <. . 4> Poor/bad data.
* <. . 5> Value corrected/changed manually.
* <. . 8> Interpolated value, or used an interpolated input value in the calculation. 
* <. . 9> Missing data.
***END***
Date	Depth_m	Qual_Depth	Water_Temperature_degC	Qual_Water_Temperature	Salinity_PSU	Qual_Salinity	Dissolved_Oxygen_%Sat	Dissolved_Oxygen_mg/L	Qual_DO	Chlorophyll_Fluorescence_ug/L	Qual_Chlorophyll_Fluorescence	Turbidity_NTU	Qual_Turbidity	Sonde_pH	Qual_Sonde_pH	SUNA_Nitrite+Nitrate_mgN/L_raw	Qual_SUNA_Nitrite+Nitrate_mgN/L_raw	SUNA_Nitrite+Nitrate_mgN/L_final	Qual_SUNA_Nitrite+Nitrate_mgN/L_final	Density_kg/m^3	Qual_Water_Density	Air_Temperature_F	Qual_Air_Temperature	Surf_PAR_umol/s/sqm	Qual_Surf_PAR	Rel_Humidity_%	Qual_Rel_Hum	Wind_Direction_deg	Qual_Wind_Direction	Wind_Speed_m/sec	Qual_Wind_Speed	SeaFET_External_pH_final_recalc	Qual_SeaFET_External_pH_final_recalc	SeaFET_Internal_pH_raw	Qual_SeaFET_Internal_pH_raw	SeaFET_Internal_pH_recalculated	Qual_SeaFET_Internal_pH_recalculated	SeaFET_Temperature_degC	Qual_SeaFET_Temperature	SeaFET_External_pH_recalc_w_salinity	Qual_SeaFET_External_pH_recalc_w_salinity	Sonde_Batt_V	Logger_Batt_V	Sonde_ID	SEAFET_INT_PH_V	SEAFET_EXT_PH_V	SeaFET_ID	
3/10/2023 12:00:00 AM	0.226	210	7.961	210	29.799	210	83.5	8.15	210	0.43	210	0.38	210	7.86	210	0.413	210			1023.19855	210	47.6	210	0.17	330	59.9	210	341.42	210	4.28	210		999	7.654	300		999	8.032	210	8.898	330	13.8	12.7		-0.934277	-0.887579		
3/10/2023 12:15:00 AM	0.210	210	7.961	210	29.791	210	83.6	8.17	210	0.48	210	0.36	210	7.86	210	0.402	210			1023.19114	210	47.3	210	0.17	330	60.7	210	256.01	210	2.89	210		999	7.656	300		999	8.029	210	8.900	330	13.8	12.8		-0.934160	-0.887476		
3/10/2023 12:30:00 AM	0.276	210	7.956	210	29.789	210	83.7	8.18	210	0.43	210	0.35	210	7.86	210	0.403	210			1023.19105	210	46.7	210	0.17	330	59.9	210	270.57	210	3.60	210		999	7.655	300		999	8.030	210	8.899	330	13.8	12.8		-0.934247	-0.887526		
3/10/2023 12:45:00 AM	0.216	210	7.940	210	29.767	210	84.1	8.22	210	0.49	210	0.32	210	7.87	210	0.416	210			1023.17560	210	49.6	210	0.17	330	41.3	210	45.47	210	2.68	210		999	7.659	300		999	8.027	210	8.903	330	13.8	12.7		-0.934009	-0.887292		
3/10/2023 1:00:00 AM	0.204	210	7.943	210	29.758	210	84.1	8.22	210	0.47	210	0.32	210	7.87	210	0.404	210			1023.16796	210	49.6	210	0.17	330	40.9	210	60.06	210	5.44	210		999	7.658	300		999	8.023	210	8.902	330	13.8	12.7		-0.934051	-0.887357		
3/10/2023 1:15:00 AM	0.247	210	7.944	210	29.759	210	84.2	8.23	210	0.48	210	0.32	210	7.87	210	0.406	210			1023.16995	210	49.6	210	0.17	330	39.0	210	56.79	210	5.19	210		999	7.659	300		999	8.023	210	8.904	330	13.8	12.8		-0.933991	-0.887251		
3/10/2023 1:30:00 AM	0.217	210	7.938	210	29.760	210	84.3	8.24	210	0.46	210	0.31	210	7.87	210	0.403	210			1023.17014	210	49.6	210	0.17	330	39.3	210	56.11	210	1.80	210		999	7.656	300		999	8.021	210	8.900	330	13.8	12.8		-0.934171	-0.887433		
3/10/2023 1:45:00 AM	0.222	210	7.932	210	29.761	210	84.4	8.24	210	0.50	210	0.30	210	7.87	210	0.418	210			1023.17284	210	48.5	210	0.17	330	46.8	210	81.76	210	6.16	210		999	7.657	300		999	8.018	210	8.900	330	13.8	12.7		-0.934104	-0.887433		
3/10/2023 2:00:00 AM	0.264	210	7.933	210	29.754	210	84.4	8.25	210	0.42	210	0.32	210	7.87	210	0.400	210			1023.16720	210	46.5	210	0.17	330	55.6	210	42.62	210	4.79	210		999	7.656	300		999	8.018	210	8.900	330	13.8	12.7		-0.934180	-0.887469		
3/10/2023 2:15:00 AM	0.238	210	7.939	210	29.761	210	84.3	8.24	210	0.48	210	0.31	210	7.87	210	0.396	210			1023.17138	210	45.3	210	0.17	330	59.1	210	36.84	210	5.81	210		999	7.656	300		999	8.015	210	8.900	330	13.8	12.7		-0.934169	-0.887479		
3/10/2023 2:30:00 AM	0.260	210	7.940	210	29.757	210	84.3	8.23	210	0.44	210	0.32	210	7.87	210	0.326	210			1023.16831	210	44.9	210	0.17	330	60.5	210	137.34	210	5.40	210		999	7.659	300		999	8.014	210	8.903	330	13.8	12.7		-0.933997	-0.887321		
3/10/2023 2:45:00 AM	0.220	210	7.943	210	29.754	210	84.2	8.23	210	0.49	210	0.31	210	7.87	210	0.394	210			1023.16439	210	44.4	210	0.17	330	61.4	210	87.85	210	5.47	210		999	7.658	300		999	8.014	210	8.901	330	13.8	12.8		-0.934060	-0.887419		
3/10/2023 3:00:00 AM	0.256	210	7.932	210	29.744	210	84.3	8.24	210	0.43	210	0.31	210	7.87	210	0.322	210			1023.15912	210	44.2	210	0.17	330	63.5	210	89.63	210	4.79	210		999	7.659	300		999	8.017	210	8.902	330	13.8	12.7		-0.934002	-0.887325		
3/10/2023 3:15:00 AM	0.251	210	7.954	210	29.752	210	84.2	8.23	210	0.47	210	0.31	210	7.87	210	0.371	210			1023.16248	210	43.7	210	0.17	330	68.9	210	133.15	210	2.29	210		999	7.659	300		999	8.018	210	8.901	330	13.8	12.7		-0.934041	-0.887401		
