**Legend**
* 
* Marine mooring data provided by King County are preliminary and have not received final approval, unless specified.
* Real-time automatic checks are done to determine if values are outside of sensor ranges or if data are missing, and further data review is performed by data managers on a semi-annual basis. 
* Inaccuracies in the data may be present because of instrument malfunctions.
* Subsequent review may result in significant revisions to the data.
* 
* Data users are cautioned to consider carefully the provisional nature of this data before using it for decisions.
* Prior to using data in publications and for appropriate citation, contact the Marine and Sediment Assessment Group (MarineWQ@kingcounty.gov).
* 
* ----PARAMETERS---
* 
* Starting on Feb. 15, 2017, the SBE HydroCAT-EP sonde will be used at this site for water data. Previously, YSI 6600 V2 sondes were used. The sonde type and unique identifier is stored under ‘Sonde_ID’ column. Satlantic SUNA and SeaFET sensors for are used for nitrate and high-precision pH, respectively.
* Meteorological data collection began in March , 2019 using a Vaisala WXT510 station and RM Young wind monitor HD.
* Parameter names denote measurement unit. Parameters ending in V represent raw voltage values or battery volts. 
* For more details, see mooring specifications: https://green2.kingcounty.gov/marine-buoy/
* 
* Note on the SeaFET: There are several pH parameters reported. The SeaFET measures pH in two ways, using an internal and an external reference. For details, please refer to the SeaFET documentation at www.satlantic.com
* For most users, refer to ‘SeaFET_EXT_pH_wSal’. This value uses the external reference and is automatically recalculated using in-situ salinity.  If salinity data are missing, then the default salinity of 30 PSU is used and pH is qualified as interpolated.
* Methods follow Bresnahan et. al, 2014, Best practices for autonomous measurement of seawater pH with the Durafet, Methods in Oceanography: 44-60.
* For the SUNA nitrate data, refer to ‘SUNA_ Nitrite+Nitrate_N_mg/L_final’ when available, as these data are finalized and, when feasible, corrected for drift following the methods in Pellerin et. al 2013, USGS Techniques and Methods 1-D5
* Site coordinate: Lat 47.53716, Long -122.40612 
* ----QUALIFIER CODES----
* Data for each parameter are followed by a 3-digit qualifier column (where the parameter name is preceded by Qual_). The quality and level of quality control (QC) is denoted for each data value.
* 
*  Summary Qualifier – 1st digit - Denotes status and overall quality of data.
* <1 . . > Finalized – Good – passed secondary review by data manager.
* <2 . . > Provisional – Good – passed initial automatic quality control check.  
* <3 . . > Questionable/suspect data. Use data with much caution.
* <4 . . > Poor/bad data. Avoid using this data.
* <9 . . > Missing data.
*
* Primary Qualifier – 2nd digit – Automatic QC flag.
* <. 0 . > Quality unknown for parameter. Avoid using this data without further review.
* <. 1 . > Passed automatic quality control checks.
* <. 2 . > Sensor failed end check validation after recovery.
* <. 3 . > Value is outside of climatological range by site.
* <. 4 . > Value is outside of measurement range for sensor.
* <. 8 . > Interpolated value, or used an interpolated input value in the calculation. For example, if salinity is missing, then a default salinity is used to calculate pH. 
* <. 9 . > Missing data.
*
* Secondary Qualifier – 3rd digit – Manually applied QC flag after data review by data manager.
* <. . 0> No secondary review completed – Default value.
* <. . 1> Good data, no adjustments made.
* <. . 2> Probably good data, no adjustments made (e.g. sensor failed end check, but previous data looks good).
* <. . 3> Questionable/suspect data (e.g. sensor drift).
* <. . 4> Poor/bad data.
* <. . 5> Value corrected/changed manually.
* <. . 8> Interpolated value, or used an interpolated input value in the calculation. 
* <. . 9> Missing data.
***END***
Date	Depth_m	Qual_Depth	Water_Temperature_degC	Qual_Water_Temperature	Salinity_PSU	Qual_Salinity	Dissolved_Oxygen_%Sat	Dissolved_Oxygen_mg/L	Qual_DO	Chlorophyll_Fluorescence_ug/L	Qual_Chlorophyll_Fluorescence	Turbidity_NTU	Qual_Turbidity	Sonde_pH	Qual_Sonde_pH	SUNA_Nitrite+Nitrate_mgN/L_raw	Qual_SUNA_Nitrite+Nitrate_mgN/L_raw	SUNA_Nitrite+Nitrate_mgN/L_final	Qual_SUNA_Nitrite+Nitrate_mgN/L_final	Density_kg/m^3	Qual_Water_Density	Air_Temperature_F	Qual_Air_Temperature	Surf_PAR_umol/s/sqm	Qual_Surf_PAR	Rel_Humidity_%	Qual_Rel_Hum	Wind_Direction_deg	Qual_Wind_Direction	Wind_Speed_m/sec	Qual_Wind_Speed	SeaFET_External_pH_final_recalc	Qual_SeaFET_External_pH_final_recalc	SeaFET_Internal_pH_raw	Qual_SeaFET_Internal_pH_raw	SeaFET_Internal_pH_recalculated	Qual_SeaFET_Internal_pH_recalculated	SeaFET_Temperature_degC	Qual_SeaFET_Temperature	SeaFET_External_pH_recalc_w_salinity	Qual_SeaFET_External_pH_recalc_w_salinity	Sonde_Batt_V	Logger_Batt_V	Sonde_ID	SEAFET_INT_PH_V	SEAFET_EXT_PH_V	SeaFET_ID	
2/13/2023 12:00:00 AM	0.446	210	8.505	210	29.745	210	80.9	7.81	210	0.44	210	0.37	210	7.79	210	0.421	210			1023.08053	210	47.6	210	0.17	330	81.3	210	178.53	210	9.80	210		999	7.612	300		999	8.576	210	8.855	330	13.8	12.4		-0.936478	-0.889435		
2/13/2023 12:15:00 AM	0.426	210	8.504	210	29.746	210	81.0	7.82	210	0.48	210	0.38	210	7.79	210	0.430	210			1023.08071	210	47.8	210	0.17	330	80.5	210	182.43	210	10.51	210		999	7.612	300		999	8.573	210	8.854	330	13.8	12.4		-0.936523	-0.889473		
2/13/2023 12:30:00 AM	0.398	210	8.500	210	29.745	210	81.1	7.83	210	0.44	210	0.38	210	7.79	210	0.423	210			1023.08081	210	47.8	210	0.17	330	79.9	210	182.59	210	11.67	210		999	7.613	300		999	8.572	210	8.856	330	13.8	12.4		-0.936428	-0.889398		
2/13/2023 12:45:00 AM	0.411	210	8.499	210	29.746	210	81.1	7.82	210	0.47	210	0.37	210	7.79	210	0.428	210			1023.08152	210	47.8	210	0.17	330	78.5	210	187.12	210	10.20	210		999	7.611	300		999	8.573	210	8.854	330	13.8	12.5		-0.936560	-0.889512		
2/13/2023 1:00:00 AM	0.381	210	8.501	210	29.747	210	81.0	7.81	210	0.44	210	0.38	210	7.79	210	0.425	210			1023.08167	210	47.6	210	0.17	330	73.5	210	188.01	210	9.35	210		999	7.612	300		999	8.570	210	8.855	330	13.8	12.4		-0.936528	-0.889461		
2/13/2023 1:15:00 AM	0.403	210	8.493	210	29.748	210	81.2	7.83	210	0.47	210	0.38	210	7.79	210	0.430	210			1023.08353	210	47.6	210	0.17	330	74.3	210	183.28	210	10.26	210		999	7.612	300		999	8.570	210	8.854	330	13.8	12.4		-0.936528	-0.889508		
2/13/2023 1:30:00 AM	0.422	210	8.498	210	29.748	210	81.1	7.82	210	0.44	210	0.38	210	7.79	210	0.429	210			1023.08262	210	47.3	210	0.17	330	72.3	210	179.58	210	10.03	210		999	7.612	300		999	8.569	210	8.855	330	13.8	12.4		-0.936520	-0.889466		
2/13/2023 1:45:00 AM	0.396	210	8.493	210	29.749	210	81.0	7.82	210	0.47	210	0.38	210	7.79	210	0.432	210			1023.08454	210	47.3	210	0.17	330	72.3	210	180.43	210	7.12	210		999	7.612	300		999	8.564	210	8.854	330	13.8	12.4		-0.936518	-0.889479		
2/13/2023 2:00:00 AM	0.411	210	8.486	210	29.749	210	81.1	7.83	210	0.43	210	0.36	210	7.79	210	0.421	210			1023.08573	210	47.1	210	0.17	330	71.9	210	193.75	210	5.27	210		999	7.610	300		999	8.562	210	8.853	330	13.8	12.5		-0.936603	-0.889546		
2/13/2023 2:15:00 AM	0.424	210	8.492	210	29.748	210	81.1	7.83	210	0.48	210	0.37	210	7.79	210	0.430	210			1023.08409	210	46.7	210	0.17	330	70.4	210	216.10	210	5.13	210		999	7.610	300		999	8.555	210	8.853	330	13.8	12.4		-0.936594	-0.889541		
2/13/2023 2:30:00 AM	0.373	210	8.492	210	29.747	210	81.0	7.82	210	0.45	210	0.38	210	7.79	210	0.424	210			1023.08331	210	46.7	210	0.17	330	70.2	210	204.10	210	4.61	210		999	7.607	300		999	8.564	210	8.850	330	13.8	12.4		-0.936763	-0.889733		
2/13/2023 2:45:00 AM	0.424	210	8.486	210	29.747	210	81.0	7.82	210	0.47	210	0.37	210	7.79	210	0.414	210			1023.08418	210	46.7	210	0.17	330	70.9	210	199.29	210	7.50	210		999	7.607	300		999	8.563	210	8.850	330	13.8	12.4		-0.936791	-0.889708		
2/13/2023 3:00:00 AM	0.446	210	8.489	210	29.747	210	81.0	7.82	210	0.45	210	0.37	210	7.79	210	0.425	210			1023.08470	210	46.5	210	0.17	330	70.2	210	192.45	210	6.94	210		999	7.605	300		999	8.558	210	8.849	330	13.8	12.4		-0.936883	-0.889770		
2/13/2023 3:15:00 AM	0.413	210	8.472	210	29.741	210	81.6	7.88	210	0.54	210	0.36	210	7.80	210	0.444	210			1023.08146	210	46.5	210	0.17	330	71.8	210	182.08	210	6.00	210		999	7.605	300		999	8.558	210	8.848	330	13.8	12.4		-0.936898	-0.889810		
