**Legend**
* 
* Marine mooring data provided by King County are preliminary and have not received final approval, unless specified.
* Real-time automatic checks are done to determine if values are outside of sensor ranges or if data are missing, and further data review is performed by data managers on a semi-annual basis. 
* Inaccuracies in the data may be present because of instrument malfunctions.
* Subsequent review may result in significant revisions to the data.
* 
* Data users are cautioned to consider carefully the provisional nature of this data before using it for decisions.
* Prior to using data in publications and for appropriate citation, contact the Marine and Sediment Assessment Group (MarineWQ@kingcounty.gov).
* 
* ----PARAMETERS---
* 
* Starting on Feb. 15, 2017, the SBE HydroCAT-EP sonde will be used at this site for water data. Previously, YSI 6600 V2 sondes were used. The sonde type and unique identifier is stored under ‘Sonde_ID’ column. Satlantic SUNA and SeaFET sensors for are used for nitrate and high-precision pH, respectively.
* Meteorological data collection began in March , 2019 using a Vaisala WXT510 station and RM Young wind monitor HD.
* Parameter names denote measurement unit. Parameters ending in V represent raw voltage values or battery volts. 
* For more details, see mooring specifications: https://green2.kingcounty.gov/marine-buoy/
* 
* Note on the SeaFET: There are several pH parameters reported. The SeaFET measures pH in two ways, using an internal and an external reference. For details, please refer to the SeaFET documentation at www.satlantic.com
* For most users, refer to ‘SeaFET_EXT_pH_wSal’. This value uses the external reference and is automatically recalculated using in-situ salinity.  If salinity data are missing, then the default salinity of 30 PSU is used and pH is qualified as interpolated.
* Methods follow Bresnahan et. al, 2014, Best practices for autonomous measurement of seawater pH with the Durafet, Methods in Oceanography: 44-60.
* For the SUNA nitrate data, refer to ‘SUNA_ Nitrite+Nitrate_N_mg/L_final’ when available, as these data are finalized and, when feasible, corrected for drift following the methods in Pellerin et. al 2013, USGS Techniques and Methods 1-D5
* Site coordinate: Lat 47.53716, Long -122.40612 
* ----QUALIFIER CODES----
* Data for each parameter are followed by a 3-digit qualifier column (where the parameter name is preceded by Qual_). The quality and level of quality control (QC) is denoted for each data value.
* 
*  Summary Qualifier – 1st digit - Denotes status and overall quality of data.
* <1 . . > Finalized – Good – passed secondary review by data manager.
* <2 . . > Provisional – Good – passed initial automatic quality control check.  
* <3 . . > Questionable/suspect data. Use data with much caution.
* <4 . . > Poor/bad data. Avoid using this data.
* <9 . . > Missing data.
*
* Primary Qualifier – 2nd digit – Automatic QC flag.
* <. 0 . > Quality unknown for parameter. Avoid using this data without further review.
* <. 1 . > Passed automatic quality control checks.
* <. 2 . > Sensor failed end check validation after recovery.
* <. 3 . > Value is outside of climatological range by site.
* <. 4 . > Value is outside of measurement range for sensor.
* <. 8 . > Interpolated value, or used an interpolated input value in the calculation. For example, if salinity is missing, then a default salinity is used to calculate pH. 
* <. 9 . > Missing data.
*
* Secondary Qualifier – 3rd digit – Manually applied QC flag after data review by data manager.
* <. . 0> No secondary review completed – Default value.
* <. . 1> Good data, no adjustments made.
* <. . 2> Probably good data, no adjustments made (e.g. sensor failed end check, but previous data looks good).
* <. . 3> Questionable/suspect data (e.g. sensor drift).
* <. . 4> Poor/bad data.
* <. . 5> Value corrected/changed manually.
* <. . 8> Interpolated value, or used an interpolated input value in the calculation. 
* <. . 9> Missing data.
***END***
Date	Depth_m	Qual_Depth	Water_Temperature_degC	Qual_Water_Temperature	Salinity_PSU	Qual_Salinity	Dissolved_Oxygen_%Sat	Dissolved_Oxygen_mg/L	Qual_DO	Chlorophyll_Fluorescence_ug/L	Qual_Chlorophyll_Fluorescence	Turbidity_NTU	Qual_Turbidity	Sonde_pH	Qual_Sonde_pH	SUNA_Nitrite+Nitrate_mgN/L_raw	Qual_SUNA_Nitrite+Nitrate_mgN/L_raw	SUNA_Nitrite+Nitrate_mgN/L_final	Qual_SUNA_Nitrite+Nitrate_mgN/L_final	Density_kg/m^3	Qual_Water_Density	Air_Temperature_F	Qual_Air_Temperature	Surf_PAR_umol/s/sqm	Qual_Surf_PAR	Rel_Humidity_%	Qual_Rel_Hum	Wind_Direction_deg	Qual_Wind_Direction	Wind_Speed_m/sec	Qual_Wind_Speed	SeaFET_External_pH_final_recalc	Qual_SeaFET_External_pH_final_recalc	SeaFET_Internal_pH_raw	Qual_SeaFET_Internal_pH_raw	SeaFET_Internal_pH_recalculated	Qual_SeaFET_Internal_pH_recalculated	SeaFET_Temperature_degC	Qual_SeaFET_Temperature	SeaFET_External_pH_recalc_w_salinity	Qual_SeaFET_External_pH_recalc_w_salinity	Sonde_Batt_V	Logger_Batt_V	Sonde_ID	SEAFET_INT_PH_V	SEAFET_EXT_PH_V	SeaFET_ID	
4/12/2023 12:00:00 AM	0.467	210	8.172	210	29.792	210	88.1	8.56	210	3.94	210	7.31	210	7.93	210	0.364	210			1023.16471	210	44.0	210	0.17	330	74.0	210	294.38	210	1.88	210		999	7.124	300		999	8.241	210	8.377	210	13.8	12.8		-0.963808	-0.916456		
4/12/2023 12:15:00 AM	0.466	210	8.298	210	29.730	210	89.7	8.70	210	1.18	210	3.53	210	7.95	210	0.370	210			1023.09886	210	44.0	210	0.17	330	73.8	210	351.30	210	1.40	210		999	7.155	300		999	8.314	210	8.405	210	13.8	12.7		-0.962088	-0.914787		
4/12/2023 12:30:00 AM	0.465	210	8.303	210	29.726	210	91.4	8.86	210	1.41	210	0.56	210	7.96	210	0.357	210			1023.09476	210	43.7	210	0.17	330	76.5	210	81.11	210	1.13	210		999	7.242	300		999	8.345	210	8.493	210	13.8	12.8		-0.957231	-0.909848		
4/12/2023 12:45:00 AM	0.464	210	8.301	210	29.729	210	91.6	8.88	210	1.23	210	20.24	210	7.96	210	0.366	210			1023.09762	210	43.5	210	0.17	330	77.1	210	329.97	210	0.00	210		999	7.275	300		999	8.362	210	8.526	330	13.8	12.8		-0.955357	-0.908020		
4/12/2023 1:00:00 AM	0.461	210	8.274	210	29.740	210	91.1	8.84	210	1.02	210	0.43	210	7.96	210	0.367	210			1023.10982	210	43.5	210	0.17	330	78.5	210	77.61	210	0.80	210		999	7.303	300		999	8.344	210	8.554	330	13.8	12.8		-0.953820	-0.906478		
4/12/2023 1:15:00 AM	0.459	210	8.254	210	29.749	210	91.0	8.83	210	1.40	210	16.93	210	7.96	210	0.352	210			1023.11950	210	43.1	210	0.17	330	77.9	210	123.22	210	0.79	210		999	7.298	300		999	8.347	210	8.548	330	13.8	12.7		-0.954111	-0.906777		
4/12/2023 1:30:00 AM	0.460	210	8.233	210	29.758	210	90.6	8.80	210	0.85	210	0.30	210	7.95	210	0.352	210			1023.12942	210	43.1	210	0.17	330	71.9	210	136.68	210	1.33	210		999	7.309	300		999	8.336	210	8.560	330	13.8	12.8		-0.953489	-0.906131		
4/12/2023 1:45:00 AM	0.462	210	8.253	210	29.751	210	90.6	8.79	210	1.00	210	1.44	210	7.95	210	0.366	210			1023.12157	210	43.1	210	0.17	330	72.4	210	128.47	210	1.83	210		999	7.252	300		999	8.336	210	8.504	330	13.8	12.7		-0.956660	-0.909289		
4/12/2023 2:00:00 AM	0.455	210	8.252	210	29.757	210	90.6	8.79	210	0.90	210	0.33	210	7.95	210	0.366	210			1023.12593	210	43.1	210	0.17	330	72.1	210	138.53	210	1.29	210		999	7.250	300		999	8.330	210	8.501	330	13.8	12.8		-0.956803	-0.909440		
4/12/2023 2:15:00 AM	0.453	210	8.224	210	29.753	210	90.5	8.78	210	0.97	210	4.45	210	7.95	210	0.355	210			1023.12732	210	43.7	210	0.17	330	75.7	210	181.28	210	0.11	210		999	7.232	300		999	8.321	210	8.484	210	13.8	12.8		-0.957765	-0.910404		
4/12/2023 2:30:00 AM	0.456	210	8.246	210	29.727	210	90.8	8.81	210	0.90	210	0.33	210	7.96	210	0.362	210			1023.10305	210	43.8	210	0.17	330	78.6	210	270.69	210	2.29	210		999	7.167	300		999	8.320	210	8.419	210	13.8	12.7		-0.961404	-0.914033		
4/12/2023 2:45:00 AM	0.463	210	8.327	210	29.655	210	92.4	8.96	210	1.09	210	0.49	210	7.97	210	0.342	210			1023.03559	210	43.5	210	0.17	330	77.3	210	310.28	210	2.28	210		999	7.249	300		999	8.380	210	8.497	210	13.8	12.7		-0.956851	-0.909543		
4/12/2023 3:00:00 AM	0.458	210	8.317	210	29.633	210	93.4	9.06	210	1.15	210	0.25	210	7.98	210	0.338	210			1023.02014	210	43.5	210	0.17	330	80.3	210	330.08	210	2.13	210		999	7.256	300		999	8.388	210	8.506	330	13.8	12.7		-0.956436	-0.909003		
4/12/2023 3:15:00 AM	0.455	210	8.298	210	29.595	210	94.3	9.15	210	1.37	210	1.35	210	7.98	210	0.351	210			1022.99265	210	42.8	210	0.17	330	79.1	210	52.44	210	0.67	210		999	7.291	300		999	8.374	210	8.539	330	13.8	12.7		-0.954497	-0.907123		
