**Legend**
* 
* Marine mooring data provided by King County are preliminary and have not received final approval, unless specified.
* Real-time automatic checks are done to determine if values are outside of sensor ranges or if data are missing, and further data review is performed by data managers on a semi-annual basis. 
* Inaccuracies in the data may be present because of instrument malfunctions.
* Subsequent review may result in significant revisions to the data.
* 
* Data users are cautioned to consider carefully the provisional nature of this data before using it for decisions.
* Prior to using data in publications and for appropriate citation, contact the Marine and Sediment Assessment Group (MarineWQ@kingcounty.gov).
* 
* ----PARAMETERS---
* 
* Starting on Feb. 15, 2017, the SBE HydroCAT-EP sonde will be used at this site for water data. Previously, YSI 6600 V2 sondes were used. The sonde type and unique identifier is stored under ‘Sonde_ID’ column. Satlantic SUNA and SeaFET sensors for are used for nitrate and high-precision pH, respectively.
* Meteorological data collection began in March , 2019 using a Vaisala WXT510 station and RM Young wind monitor HD.
* Parameter names denote measurement unit. Parameters ending in V represent raw voltage values or battery volts. 
* For more details, see mooring specifications: https://green2.kingcounty.gov/marine-buoy/
* 
* Note on the SeaFET: There are several pH parameters reported. The SeaFET measures pH in two ways, using an internal and an external reference. For details, please refer to the SeaFET documentation at www.satlantic.com
* For most users, refer to ‘SeaFET_EXT_pH_wSal’. This value uses the external reference and is automatically recalculated using in-situ salinity.  If salinity data are missing, then the default salinity of 30 PSU is used and pH is qualified as interpolated.
* Methods follow Bresnahan et. al, 2014, Best practices for autonomous measurement of seawater pH with the Durafet, Methods in Oceanography: 44-60.
* For the SUNA nitrate data, refer to ‘SUNA_ Nitrite+Nitrate_N_mg/L_final’ when available, as these data are finalized and, when feasible, corrected for drift following the methods in Pellerin et. al 2013, USGS Techniques and Methods 1-D5
* Site coordinate: Lat 47.53716, Long -122.40612 
* ----QUALIFIER CODES----
* Data for each parameter are followed by a 3-digit qualifier column (where the parameter name is preceded by Qual_). The quality and level of quality control (QC) is denoted for each data value.
* 
*  Summary Qualifier – 1st digit - Denotes status and overall quality of data.
* <1 . . > Finalized – Good – passed secondary review by data manager.
* <2 . . > Provisional – Good – passed initial automatic quality control check.  
* <3 . . > Questionable/suspect data. Use data with much caution.
* <4 . . > Poor/bad data. Avoid using this data.
* <9 . . > Missing data.
*
* Primary Qualifier – 2nd digit – Automatic QC flag.
* <. 0 . > Quality unknown for parameter. Avoid using this data without further review.
* <. 1 . > Passed automatic quality control checks.
* <. 2 . > Sensor failed end check validation after recovery.
* <. 3 . > Value is outside of climatological range by site.
* <. 4 . > Value is outside of measurement range for sensor.
* <. 8 . > Interpolated value, or used an interpolated input value in the calculation. For example, if salinity is missing, then a default salinity is used to calculate pH. 
* <. 9 . > Missing data.
*
* Secondary Qualifier – 3rd digit – Manually applied QC flag after data review by data manager.
* <. . 0> No secondary review completed – Default value.
* <. . 1> Good data, no adjustments made.
* <. . 2> Probably good data, no adjustments made (e.g. sensor failed end check, but previous data looks good).
* <. . 3> Questionable/suspect data (e.g. sensor drift).
* <. . 4> Poor/bad data.
* <. . 5> Value corrected/changed manually.
* <. . 8> Interpolated value, or used an interpolated input value in the calculation. 
* <. . 9> Missing data.
***END***
Date	Depth_m	Qual_Depth	Water_Temperature_degC	Qual_Water_Temperature	Salinity_PSU	Qual_Salinity	Dissolved_Oxygen_%Sat	Dissolved_Oxygen_mg/L	Qual_DO	Chlorophyll_Fluorescence_ug/L	Qual_Chlorophyll_Fluorescence	Turbidity_NTU	Qual_Turbidity	Sonde_pH	Qual_Sonde_pH	SUNA_Nitrite+Nitrate_mgN/L_raw	Qual_SUNA_Nitrite+Nitrate_mgN/L_raw	SUNA_Nitrite+Nitrate_mgN/L_final	Qual_SUNA_Nitrite+Nitrate_mgN/L_final	Density_kg/m^3	Qual_Water_Density	Air_Temperature_F	Qual_Air_Temperature	Surf_PAR_umol/s/sqm	Qual_Surf_PAR	Rel_Humidity_%	Qual_Rel_Hum	Wind_Direction_deg	Qual_Wind_Direction	Wind_Speed_m/sec	Qual_Wind_Speed	SeaFET_External_pH_final_recalc	Qual_SeaFET_External_pH_final_recalc	SeaFET_Internal_pH_raw	Qual_SeaFET_Internal_pH_raw	SeaFET_Internal_pH_recalculated	Qual_SeaFET_Internal_pH_recalculated	SeaFET_Temperature_degC	Qual_SeaFET_Temperature	SeaFET_External_pH_recalc_w_salinity	Qual_SeaFET_External_pH_recalc_w_salinity	Sonde_Batt_V	Logger_Batt_V	Sonde_ID	SEAFET_INT_PH_V	SEAFET_EXT_PH_V	SeaFET_ID	
4/24/2023 12:00:00 AM	0.432	210	8.490	210	29.742	210	92.9	8.97	210	1.65	210	0.34	210	7.99	210	0.328	210			1023.07989	210	47.4	210	0.17	330	79.9	210	179.77	210	6.67	210		999	7.600	300		999	8.546	210	8.846	330	13.8	12.8		-0.937173	-0.889943		
4/24/2023 12:15:00 AM	0.469	210	8.471	210	29.750	210	92.6	8.94	210	1.61	210	0.33	210	7.98	210	0.340	210			1023.08921	210	47.3	210	0.17	330	80.4	210	183.75	210	7.40	210		999	7.596	300		999	8.538	210	8.843	330	13.8	12.7		-0.937388	-0.890164		
4/24/2023 12:30:00 AM	0.447	210	8.454	210	29.754	210	92.6	8.94	210	1.50	210	0.34	210	7.98	210	0.340	210			1023.09522	210	47.1	210	0.17	330	80.4	210	182.16	210	8.48	210		999	7.608	300		999	8.541	210	8.854	330	13.8	12.8		-0.936736	-0.889508		
4/24/2023 12:45:00 AM	0.428	210	8.430	210	29.764	210	91.8	8.87	210	1.40	210	0.34	210	7.98	210	0.335	210			1023.10563	210	47.3	210	0.17	330	81.2	210	176.99	210	6.79	210		999	7.605	300		999	8.516	210	8.853	330	13.8	12.7		-0.936899	-0.889626		
4/24/2023 1:00:00 AM	0.444	210	8.437	210	29.763	210	91.7	8.86	210	1.41	210	0.33	210	7.98	210	0.330	210			1023.10491	210	47.4	210	0.17	330	81.7	210	171.54	210	6.99	210		999	7.590	300		999	8.517	210	8.838	330	13.8	12.8		-0.937730	-0.890438		
4/24/2023 1:15:00 AM	0.440	210	8.413	210	29.769	210	91.4	8.84	210	1.33	210	0.33	210	7.97	210	0.338	210			1023.11221	210	47.4	210	0.17	330	81.6	210	168.18	210	7.31	210		999	7.567	300		999	8.503	210	8.815	330	13.8	12.8		-0.939012	-0.891756		
4/24/2023 1:30:00 AM	0.440	210	8.399	210	29.772	210	91.0	8.80	210	1.28	210	0.36	210	7.97	210	0.336	210			1023.11612	210	47.6	210	0.17	330	81.8	210	166.17	210	7.24	210		999	7.553	300		999	8.485	210	8.801	330	13.8	12.7		-0.939811	-0.892541		
4/24/2023 1:45:00 AM	0.448	210	8.458	210	29.753	210	92.1	8.89	210	1.54	210	0.33	210	7.98	210	0.327	210			1023.09399	210	47.4	210	0.17	330	81.9	210	176.85	210	6.52	210		999	7.551	300		999	8.517	210	8.797	330	13.8	12.7		-0.939948	-0.892718		
4/24/2023 2:00:00 AM	0.433	210	8.464	210	29.752	210	92.4	8.93	210	1.65	210	0.35	210	7.98	210	0.337	210			1023.09146	210	47.4	210	0.17	330	81.7	210	178.86	210	6.07	210		999	7.568	300		999	8.512	210	8.815	330	13.8	12.7		-0.939000	-0.891723		
4/24/2023 2:15:00 AM	0.435	210	8.438	210	29.761	210	91.4	8.83	210	1.44	210	0.34	210	7.98	210	0.337	210			1023.10206	210	47.3	210	0.17	330	80.6	210	196.28	210	5.81	210		999	7.564	300		999	8.518	210	8.812	330	13.8	12.7		-0.939175	-0.891900		
4/24/2023 2:30:00 AM	0.443	210	8.465	210	29.756	210	91.9	8.87	210	1.68	210	0.33	210	7.98	210	0.339	210			1023.09515	210	47.4	210	0.17	330	80.7	210	178.46	210	4.98	210		999	7.576	300		999	8.520	210	8.824	330	13.8	12.7		-0.938512	-0.891225		
4/24/2023 2:45:00 AM	0.449	210	8.483	210	29.749	210	92.8	8.95	210	1.89	210	0.33	210	7.99	210	0.339	210			1023.08713	210	47.3	210	0.17	330	80.7	210	191.39	210	3.89	210		999	7.588	300		999	8.539	210	8.835	330	13.8	12.7		-0.937868	-0.890583		
4/24/2023 3:00:00 AM	0.437	210	8.477	210	29.749	210	92.4	8.92	210	1.81	210	0.34	210	7.98	210	0.333	210			1023.08693	210	47.4	210	0.17	330	80.6	210	198.83	210	2.73	210		999	7.579	300		999	8.541	210	8.827	330	13.8	12.7		-0.938359	-0.891048		
4/24/2023 3:15:00 AM	0.447	210	8.474	210	29.747	210	92.9	8.97	210	1.77	210	0.31	210	7.98	210	0.333	210			1023.08689	210	47.4	210	0.17	330	80.7	210	204.19	210	3.47	210		999	7.573	300		999	8.544	210	8.821	330	13.8	12.7		-0.938669	-0.891376		
4/24/2023 3:30:00 AM	0.449	210	8.437	210	29.758	210	91.8	8.87	210	1.47	210	0.35	210	7.98	210	0.338	210			1023.10059	210	47.3	210	0.17	330	80.9	210	196.37	210	3.37	210		999	7.552	300		999	8.526	210	8.800	330	13.8	12.7		-0.939864	-0.892580		
4/24/2023 3:45:00 AM	0.449	210	8.435	210	29.760	210	91.8	8.87	210	1.62	210	0.33	210	7.98	210	0.334	210			1023.10233	210	47.3	210	0.17	330	80.8	210	183.13	210	4.30	210		999	7.517	300		999	8.517	210	8.765	330	13.8	12.6		-0.941832	-0.894520		
