**Legend**
* 
* Marine mooring data provided by King County are preliminary and have not received final approval, unless specified.
* Real-time automatic checks are done to determine if values are outside of sensor ranges or if data are missing, and further data review is performed by data managers on a semi-annual basis. 
* Inaccuracies in the data may be present because of instrument malfunctions.
* Subsequent review may result in significant revisions to the data.
* 
* Data users are cautioned to consider carefully the provisional nature of this data before using it for decisions.
* Prior to using data in publications and for appropriate citation, contact the Marine and Sediment Assessment Group (MarineWQ@kingcounty.gov).
* 
* ----PARAMETERS---
* 
* Starting on Feb. 15, 2017, the SBE HydroCAT-EP sonde will be used at this site for water data. Previously, YSI 6600 V2 sondes were used. The sonde type and unique identifier is stored under ‘Sonde_ID’ column. Satlantic SUNA and SeaFET sensors for are used for nitrate and high-precision pH, respectively.
* Meteorological data collection began in March , 2019 using a Vaisala WXT510 station and RM Young wind monitor HD.
* Parameter names denote measurement unit. Parameters ending in V represent raw voltage values or battery volts. 
* For more details, see mooring specifications: https://green2.kingcounty.gov/marine-buoy/
* 
* Note on the SeaFET: There are several pH parameters reported. The SeaFET measures pH in two ways, using an internal and an external reference. For details, please refer to the SeaFET documentation at www.satlantic.com
* For most users, refer to ‘SeaFET_EXT_pH_wSal’. This value uses the external reference and is automatically recalculated using in-situ salinity.  If salinity data are missing, then the default salinity of 30 PSU is used and pH is qualified as interpolated.
* Methods follow Bresnahan et. al, 2014, Best practices for autonomous measurement of seawater pH with the Durafet, Methods in Oceanography: 44-60.
* For the SUNA nitrate data, refer to ‘SUNA_ Nitrite+Nitrate_N_mg/L_final’ when available, as these data are finalized and, when feasible, corrected for drift following the methods in Pellerin et. al 2013, USGS Techniques and Methods 1-D5
* Site coordinate: Lat 47.53716, Long -122.40612 
* ----QUALIFIER CODES----
* Data for each parameter are followed by a 3-digit qualifier column (where the parameter name is preceded by Qual_). The quality and level of quality control (QC) is denoted for each data value.
* 
*  Summary Qualifier – 1st digit - Denotes status and overall quality of data.
* <1 . . > Finalized – Good – passed secondary review by data manager.
* <2 . . > Provisional – Good – passed initial automatic quality control check.  
* <3 . . > Questionable/suspect data. Use data with much caution.
* <4 . . > Poor/bad data. Avoid using this data.
* <9 . . > Missing data.
*
* Primary Qualifier – 2nd digit – Automatic QC flag.
* <. 0 . > Quality unknown for parameter. Avoid using this data without further review.
* <. 1 . > Passed automatic quality control checks.
* <. 2 . > Sensor failed end check validation after recovery.
* <. 3 . > Value is outside of climatological range by site.
* <. 4 . > Value is outside of measurement range for sensor.
* <. 8 . > Interpolated value, or used an interpolated input value in the calculation. For example, if salinity is missing, then a default salinity is used to calculate pH. 
* <. 9 . > Missing data.
*
* Secondary Qualifier – 3rd digit – Manually applied QC flag after data review by data manager.
* <. . 0> No secondary review completed – Default value.
* <. . 1> Good data, no adjustments made.
* <. . 2> Probably good data, no adjustments made (e.g. sensor failed end check, but previous data looks good).
* <. . 3> Questionable/suspect data (e.g. sensor drift).
* <. . 4> Poor/bad data.
* <. . 5> Value corrected/changed manually.
* <. . 8> Interpolated value, or used an interpolated input value in the calculation. 
* <. . 9> Missing data.
***END***
Date	Depth_m	Qual_Depth	Water_Temperature_degC	Qual_Water_Temperature	Salinity_PSU	Qual_Salinity	Dissolved_Oxygen_%Sat	Dissolved_Oxygen_mg/L	Qual_DO	Chlorophyll_Fluorescence_ug/L	Qual_Chlorophyll_Fluorescence	Turbidity_NTU	Qual_Turbidity	Sonde_pH	Qual_Sonde_pH	SUNA_Nitrite+Nitrate_mgN/L_raw	Qual_SUNA_Nitrite+Nitrate_mgN/L_raw	SUNA_Nitrite+Nitrate_mgN/L_final	Qual_SUNA_Nitrite+Nitrate_mgN/L_final	Density_kg/m^3	Qual_Water_Density	Air_Temperature_F	Qual_Air_Temperature	Surf_PAR_umol/s/sqm	Qual_Surf_PAR	Rel_Humidity_%	Qual_Rel_Hum	Wind_Direction_deg	Qual_Wind_Direction	Wind_Speed_m/sec	Qual_Wind_Speed	SeaFET_External_pH_final_recalc	Qual_SeaFET_External_pH_final_recalc	SeaFET_Internal_pH_raw	Qual_SeaFET_Internal_pH_raw	SeaFET_Internal_pH_recalculated	Qual_SeaFET_Internal_pH_recalculated	SeaFET_Temperature_degC	Qual_SeaFET_Temperature	SeaFET_External_pH_recalc_w_salinity	Qual_SeaFET_External_pH_recalc_w_salinity	Sonde_Batt_V	Logger_Batt_V	Sonde_ID	SEAFET_INT_PH_V	SEAFET_EXT_PH_V	SeaFET_ID	
2/1/2023 12:00:00 AM	0.521	210	7.526	210	28.958	210	89.2	8.84	210	1.27	210	0.32	210	7.85	210	0.402	210			1022.59775	210	40.8	210	0.17	330	66.0	210	36.29	210	1.07	210		999	7.705	300		999	7.719	210	8.949	330	13.8	12.2		-0.931517	-0.884343		
2/1/2023 12:15:00 AM	0.524	210	7.668	210	29.055	210	88.8	8.77	210	1.20	210	0.32	210	7.85	210	0.397	210			1022.65535	210	40.2	210	0.17	330	64.5	210	62.81	210	1.38	210		999	7.707	300		999	7.734	210	8.951	330	13.8	12.2		-0.931436	-0.884266		
2/1/2023 12:30:00 AM	0.523	210	7.570	210	28.966	210	89.0	8.81	210	1.22	210	0.32	210	7.85	210	0.399	210			1022.59829	210	40.6	210	0.17	330	65.7	210	101.56	210	1.70	210		999	7.698	300		999	7.769	210	8.941	330	13.8	12.2		-0.931916	-0.884766		
2/1/2023 12:45:00 AM	0.529	210	7.571	210	28.920	210	89.1	8.83	210	1.22	210	0.32	210	7.85	210	0.396	210			1022.56234	210	40.4	210	0.17	330	65.8	210	72.54	210	1.46	210		999	7.712	300		999	7.632	210	8.955	330	13.8	12.2		-0.931166	-0.884057		
2/1/2023 1:00:00 AM	0.511	210	7.552	210	28.906	210	89.2	8.85	210	1.20	210	0.32	210	7.85	210	0.400	210			1022.55362	210	40.6	210	0.17	330	64.4	210	111.93	210	1.40	210		999	7.714	300		999	7.613	210	8.957	330	13.8	12.2		-0.931042	-0.883960		
2/1/2023 1:15:00 AM	0.514	210	7.524	210	28.845	210	89.3	8.86	210	1.36	210	0.33	210	7.85	210	0.398	210			1022.50979	210	40.4	210	0.17	330	59.5	210	95.76	210	1.75	210		999	7.715	300		999	7.591	210	8.957	330	13.8	12.3		-0.931012	-0.883924		
2/1/2023 1:30:00 AM	0.512	210	7.578	210	28.894	210	89.1	8.83	210	1.23	210	0.33	210	7.85	210	0.396	210			1022.54105	210	40.4	210	0.17	330	59.7	210	103.09	210	1.24	210		999	7.710	300		999	7.657	210	8.952	330	13.8	12.2		-0.931276	-0.884183		
2/1/2023 1:45:00 AM	0.518	210	7.491	210	28.841	210	89.3	8.87	210	1.27	210	0.32	210	7.85	210	0.397	210			1022.51110	210	40.2	210	0.17	330	59.4	210	115.46	210	1.23	210		999	7.704	300		999	7.756	210	8.945	330	13.8	12.2		-0.931568	-0.884407		
2/1/2023 2:00:00 AM	0.517	210	7.583	210	28.917	210	89.1	8.82	210	1.28	210	0.33	210	7.85	210	0.393	210			1022.55830	210	40.4	210	0.17	330	61.1	210	127.38	210	1.89	210		999	7.708	300		999	7.671	210	8.951	330	13.8	12.2		-0.931364	-0.884213		
2/1/2023 2:15:00 AM	0.517	210	7.607	210	28.939	210	88.7	8.78	210	1.28	210	0.33	210	7.84	210	0.400	210			1022.57273	210	40.6	210	0.17	330	61.2	210	137.18	210	2.28	210		999	7.702	300		999	7.699	210	8.946	330	13.8	12.2		-0.931693	-0.884512		
2/1/2023 2:30:00 AM	0.519	210	7.596	210	28.954	210	88.6	8.77	210	1.21	210	0.32	210	7.84	210	0.398	210			1022.58553	210	40.6	210	0.17	330	59.0	210	133.26	210	2.29	210		999	7.701	300		999	7.680	210	8.945	330	13.8	12.2		-0.931771	-0.884607		
2/1/2023 2:45:00 AM	0.517	210	7.637	210	28.975	210	88.5	8.75	210	1.28	210	0.32	210	7.84	210	0.399	210			1022.59675	210	40.8	210	0.17	330	59.7	210	150.34	210	2.17	210		999	7.696	300		999	7.707	210	8.941	330	13.8	12.2		-0.932021	-0.884833		
2/1/2023 3:00:00 AM	0.515	210	7.634	210	28.998	210	88.3	8.73	210	1.20	210	0.32	210	7.84	210	0.394	210			1022.61512	210	40.4	210	0.17	330	61.7	210	133.77	210	1.87	210		999	7.694	300		999	7.701	210	8.939	330	13.8	12.2		-0.932128	-0.884942		
2/1/2023 3:15:00 AM	0.523	210	7.649	210	29.021	210	88.2	8.71	210	1.20	210	0.32	210	7.84	210	0.411	210			1022.63109	210	40.4	210	0.17	330	62.2	210	143.63	210	2.07	210		999	7.696	300		999	7.728	210	8.940	330	13.8	12.2		-0.932049	-0.884884		
