**Legend**
* 
* Marine mooring data provided by King County are preliminary and have not received final approval, unless specified.
* Real-time automatic checks are done to determine if values are outside of sensor ranges or if data are missing, and further data review is performed by data managers on a semi-annual basis. 
* Inaccuracies in the data may be present because of instrument malfunctions.
* Subsequent review may result in significant revisions to the data.
* 
* Data users are cautioned to consider carefully the provisional nature of this data before using it for decisions.
* Prior to using data in publications and for appropriate citation, contact the Marine and Sediment Assessment Group (MarineWQ@kingcounty.gov).
* 
* ----PARAMETERS---
* Site uses SBE HydroCat-EP sondes for water data. Previously, YSI 6600 V2 sondes were used. The sonde type and unique identifier is stored under ‘Sonde_ID’ column. Meteorological data use Vaisala WXT510 stations. 
* 
* There are two sondes at the Seattle Aquarium site: at approximately 1 m and 10 m depths. The sondes are distinguished in the column header by the number at the end of the parameter name (1 = 1 m, 2 = 10 m).
* Meteorological data are no longer available at this site beginning March 14, 2019.
* Parameter names denote measurement unit. Parameters ending in V represent raw voltage values or battery volts. 
* For more details, see mooring specifications: https://green2.kingcounty.gov/marine-buoy/
* 
* 
* 
* 
* Site coordinates: Lat 47.60786, Long -122.34360 
* ----QUALIFIER CODES----
* Data for each parameter are followed by a 3-digit qualifier column (where the parameter name is preceded by Qual_). The quality and level of quality control (QC) is denoted for each data value.
* 
*  Summary Qualifier – 1st digit - Denotes status and overall quality of data.
* <1 . . > Finalized – Good – passed secondary review by data manager.
* <2 . . > Provisional – Good – passed initial automatic quality control check.  
* <3 . . > Questionable/suspect data. Use data with much caution.
* <4 . . > Poor/bad data. Avoid using this data.
* <9 . . > Missing data.
*
* Primary Qualifier – 2nd digit – Automatic QC flag.
* <. 0 . > Quality unknown for parameter. Avoid using this data without further review.
* <. 1 . > Passed automatic quality control checks.
* <. 2 . > Sensor failed end check validation after recovery.
* <. 3 . > Value is outside of climatological range by site.
* <. 4 . > Value is outside of measurement range for sensor.
* <. 9 . > Missing data.
*
* Secondary Qualifier – 3rd digit – Manually applied QC flag after data review by data manager.
* <. . 0> No secondary review completed – Default value.
* <. . 1> Good data, no adjustments made.
* <. . 2> Probably good data, no adjustments made (e.g. sensor failed end check, but previous data looks good).
* <. . 3> Questionable/suspect data (e.g. sensor drift).
* <. . 4> Poor/bad data.
* <. . 5> Value corrected/changed manually.
* <. . 9> Missing data.
***END***
Date	1_Depth_m	Qual_1_Depth	2_Depth_m	Qual_2_Depth	1_Water_Temperature_degC	Qual_1_Water_Temperature	2_Water_Temperature_degC	Qual_2_Water_Temperature	1_Salinity_PSU	Qual_1_Salinity	2_Salinity_PSU	Qual_2_Salinity	1_Dissolved_Oxygen_%Sat	1_Dissolved_Oxygen_mg/L	Qual_1_DO	2_Dissolved_Oxygen_%Sat	2_Dissolved_Oxygen_mg/L	Qual_2_DO	1_Chlorophyll_Fluorescence_ug/L	Qual_1_Chlorophyll_Fluorescence	2_Chlorophyll_Fluorescence_ug/L	Qual_2_Chlorophyll_Fluorescence	1_Turbidity_NTU	Qual_1_Turbidity	2_Turbidity_NTU	Qual_2_Turbidity	1_Sonde_pH	Qual_1_Sonde_pH	2_Sonde_pH	Qual_2_Sonde_pH	1_Density_kg/m^3	Qual_1_Water_Density	2_Density_kg/m^3	Qual_2_Water_Density	Air_Temperature_F	Qual_Air_Temperature	Surf_PAR_umol/s/sqm	Qual_Surf_PAR	Air_Pressure_inHg	Qual_Air_Pressure	Rain_Fall_in	Qual_Rain_Fall	Rel_Humidity_%	Qual_Rel_Hum	Wind_Direction_deg	Qual_Wind_Direction	Wind_Speed_m/sec	Qual_Wind_Speed	1_Sonde_Batt_V	2_Sonde_Batt_V	Logger_Batt_V	1_Sonde_ID	2_Sonde_ID	
4/28/2023 12:00:00 AM	1.119	210	10.069	210	9.585	210	8.442	210	27.840	210	29.759	210	95.1	9.07	210	90.7	8.76	210	0.72	210	1.68	210	0.24	210	0.41	210	7.90	210	7.82	210	1021.43668	210	1023.14485	210															11.2	13.8	13.1			
4/28/2023 12:15:00 AM	1.107	210	10.016	210	9.832	210	8.459	210	26.923	210	29.741	210	95.7	9.13	210	90.6	8.75	210	0.84	210	1.81	210	0.26	210	0.40	210	7.91	210	7.82	210	1020.68445	210	1023.12808	210															11.2	13.8	13.1			
4/28/2023 12:30:00 AM	1.100	210	10.017	210	9.662	210	8.500	210	27.439	210	29.696	210	96.4	9.20	210	91.7	8.86	210	1.10	210	2.36	210	0.47	210	0.44	210	7.90	210	7.83	210	1021.11114	210	1023.08734	210															11.2	13.8	13.1			
4/28/2023 12:45:00 AM	1.083	210	9.994	210	9.428	210	8.450	210	28.148	210	29.751	210	95.5	9.12	210	91.0	8.79	210	1.00	210	1.76	210	0.31	210	0.41	210	7.90	210	7.82	210	1021.69883	210	1023.13754	210															11.1	13.8	13.0			
4/28/2023 1:00:00 AM	1.070	210	9.965	210	9.451	210	8.446	210	28.029	210	29.761	210	95.3	9.11	210	90.6	8.75	210	0.89	210	1.99	210	0.30	210	0.41	210	7.90	210	7.82	210	1021.60321	210	1023.14564	210															11.2	13.8	13.0			
4/28/2023 1:15:00 AM	1.053	210	9.958	210	9.298	210	8.448	210	28.438	210	29.762	210	94.6	9.05	210	90.4	8.73	210	1.00	210	1.89	210	0.31	210	0.42	210	7.90	210	7.82	210	1021.94507	210	1023.14594	210															11.2	13.8	13.0			
4/28/2023 1:30:00 AM	1.034	210	9.931	210	9.346	210	8.501	210	28.398	210	29.735	210	94.8	9.07	210	91.3	8.81	210	0.91	210	2.54	210	0.25	210	0.36	210	7.89	210	7.82	210	1021.90646	210	1023.11666	210															11.1	13.8	13.0			
4/28/2023 1:45:00 AM	0.998	210	9.898	210	9.196	210	8.511	210	28.773	210	29.720	210	94.2	9.01	210	92.7	8.94	210	1.16	210	2.66	210	0.30	210	0.40	210	7.89	210	7.82	210	1022.22162	210	1023.10360	210															11.2	13.8	13.0			
4/28/2023 2:00:00 AM	0.966	210	9.858	210	9.257	210	8.511	210	28.683	210	29.692	210	95.1	9.09	210	92.5	8.92	210	1.23	210	2.36	210	0.34	210	0.36	210	7.89	210	7.83	210	1022.14264	210	1023.08134	210															11.2	13.8	13.0			
4/28/2023 2:15:00 AM	0.935	210	9.811	210	9.306	210	8.481	210	28.545	210	29.745	210	95.0	9.08	210	91.9	8.87	210	1.22	210	2.82	210	0.36	210	0.39	210	7.90	210	7.83	210	1022.02723	210	1023.12713	210															11.2	13.8	13.1			
4/28/2023 2:30:00 AM	0.883	210	9.751	210	9.102	210	8.492	210	28.825	210	29.756	210	95.3	9.12	210	92.0	8.88	210	1.67	210	2.76	210	0.39	210	0.35	210	7.91	210	7.83	210	1022.27541	210	1023.13478	210															11.1	13.8	13.1			
4/28/2023 2:45:00 AM	0.804	210	9.687	210	8.981	210	8.481	210	28.997	210	29.762	210	95.1	9.12	210	91.8	8.86	210	1.62	210	2.54	210	0.38	210	0.35	210	7.91	210	7.83	210	1022.42793	210	1023.13973	210															11.2	13.8	13.0			
4/28/2023 3:00:00 AM	0.748	210	9.612	210	8.943	210	8.471	210	29.089	210	29.761	210	94.9	9.11	210	91.3	8.81	210	1.56	210	2.31	210	0.38	210	0.40	210	7.91	210	7.83	210	1022.50493	210	1023.14026	210															11.1	13.8	13.1			
