**Legend**
* 
* Marine mooring data provided by King County are preliminary and have not received final approval, unless specified.
* Real-time automatic checks are done to determine if values are outside of sensor ranges or if data are missing, and further data review is performed by data managers on a semi-annual basis. 
* Inaccuracies in the data may be present because of instrument malfunctions.
* Subsequent review may result in significant revisions to the data.
* 
* Data users are cautioned to consider carefully the provisional nature of this data before using it for decisions.
* Prior to using data in publications and for appropriate citation, contact the Marine and Sediment Assessment Group (MarineWQ@kingcounty.gov).
* 
* ----PARAMETERS---
* 
* Starting on Feb. 15, 2017, the SBE HydroCAT-EP sonde will be used at this site for water data. Previously, YSI 6600 V2 sondes were used. The sonde type and unique identifier is stored under ‘Sonde_ID’ column. Satlantic SUNA and SeaFET sensors for are used for nitrate and high-precision pH, respectively.
* Meteorological data collection began in March , 2019 using a Vaisala WXT510 station and RM Young wind monitor HD.
* Parameter names denote measurement unit. Parameters ending in V represent raw voltage values or battery volts. 
* For more details, see mooring specifications: https://green2.kingcounty.gov/marine-buoy/
* 
* Note on the SeaFET: There are several pH parameters reported. The SeaFET measures pH in two ways, using an internal and an external reference. For details, please refer to the SeaFET documentation at www.satlantic.com
* For most users, refer to ‘SeaFET_EXT_pH_wSal’. This value uses the external reference and is automatically recalculated using in-situ salinity.  If salinity data are missing, then the default salinity of 30 PSU is used and pH is qualified as interpolated.
* Methods follow Bresnahan et. al, 2014, Best practices for autonomous measurement of seawater pH with the Durafet, Methods in Oceanography: 44-60.
* For the SUNA nitrate data, refer to ‘SUNA_ Nitrite+Nitrate_N_mg/L_final’ when available, as these data are finalized and, when feasible, corrected for drift following the methods in Pellerin et. al 2013, USGS Techniques and Methods 1-D5
* Site coordinate: Lat 47.53716, Long -122.40612 
* ----QUALIFIER CODES----
* Data for each parameter are followed by a 3-digit qualifier column (where the parameter name is preceded by Qual_). The quality and level of quality control (QC) is denoted for each data value.
* 
*  Summary Qualifier – 1st digit - Denotes status and overall quality of data.
* <1 . . > Finalized – Good – passed secondary review by data manager.
* <2 . . > Provisional – Good – passed initial automatic quality control check.  
* <3 . . > Questionable/suspect data. Use data with much caution.
* <4 . . > Poor/bad data. Avoid using this data.
* <9 . . > Missing data.
*
* Primary Qualifier – 2nd digit – Automatic QC flag.
* <. 0 . > Quality unknown for parameter. Avoid using this data without further review.
* <. 1 . > Passed automatic quality control checks.
* <. 2 . > Sensor failed end check validation after recovery.
* <. 3 . > Value is outside of climatological range by site.
* <. 4 . > Value is outside of measurement range for sensor.
* <. 8 . > Interpolated value, or used an interpolated input value in the calculation. For example, if salinity is missing, then a default salinity is used to calculate pH. 
* <. 9 . > Missing data.
*
* Secondary Qualifier – 3rd digit – Manually applied QC flag after data review by data manager.
* <. . 0> No secondary review completed – Default value.
* <. . 1> Good data, no adjustments made.
* <. . 2> Probably good data, no adjustments made (e.g. sensor failed end check, but previous data looks good).
* <. . 3> Questionable/suspect data (e.g. sensor drift).
* <. . 4> Poor/bad data.
* <. . 5> Value corrected/changed manually.
* <. . 8> Interpolated value, or used an interpolated input value in the calculation. 
* <. . 9> Missing data.
***END***
Date	Depth_m	Qual_Depth	Water_Temperature_degC	Qual_Water_Temperature	Salinity_PSU	Qual_Salinity	Dissolved_Oxygen_%Sat	Dissolved_Oxygen_mg/L	Qual_DO	Chlorophyll_Fluorescence_ug/L	Qual_Chlorophyll_Fluorescence	Turbidity_NTU	Qual_Turbidity	Sonde_pH	Qual_Sonde_pH	SUNA_Nitrite+Nitrate_mgN/L_raw	Qual_SUNA_Nitrite+Nitrate_mgN/L_raw	SUNA_Nitrite+Nitrate_mgN/L_final	Qual_SUNA_Nitrite+Nitrate_mgN/L_final	Density_kg/m^3	Qual_Water_Density	Air_Temperature_F	Qual_Air_Temperature	Surf_PAR_umol/s/sqm	Qual_Surf_PAR	Rel_Humidity_%	Qual_Rel_Hum	Wind_Direction_deg	Qual_Wind_Direction	Wind_Speed_m/sec	Qual_Wind_Speed	SeaFET_External_pH_final_recalc	Qual_SeaFET_External_pH_final_recalc	SeaFET_Internal_pH_raw	Qual_SeaFET_Internal_pH_raw	SeaFET_Internal_pH_recalculated	Qual_SeaFET_Internal_pH_recalculated	SeaFET_Temperature_degC	Qual_SeaFET_Temperature	SeaFET_External_pH_recalc_w_salinity	Qual_SeaFET_External_pH_recalc_w_salinity	Sonde_Batt_V	Logger_Batt_V	Sonde_ID	SEAFET_INT_PH_V	SEAFET_EXT_PH_V	SeaFET_ID	
3/25/2023 12:00:00 AM	0.538	210	8.027	210	29.786	210	87.0	8.48	210	0.64	210	0.37	210	7.90	210	0.382	210			1023.18047	210	41.0	210	0.17	330	75.0	210	149.29	210	5.77	210		999	7.544	300		999	8.102	210	8.792	330	13.8	12.7		-0.940412	-0.893431		
3/25/2023 12:15:00 AM	0.519	210	8.027	210	29.793	210	86.8	8.47	210	0.66	210	0.38	210	7.90	210	0.380	210			1023.18541	210	40.8	210	0.17	330	76.0	210	145.57	210	4.73	210		999	7.510	300		999	8.100	210	8.758	330	13.8	12.7		-0.942322	-0.895327		
3/25/2023 12:30:00 AM	0.547	210	8.029	210	29.790	210	86.9	8.47	210	0.66	210	0.39	210	7.90	210	0.382	210			1023.18318	210	40.6	210	0.17	330	75.7	210	141.59	210	5.61	210		999	7.479	300		999	8.098	210	8.727	330	13.8	12.7		-0.944061	-0.897056		
3/25/2023 12:45:00 AM	0.544	210	8.026	210	29.788	210	87.0	8.49	210	0.70	210	0.35	210	7.90	210	0.396	210			1023.18169	210	40.2	210	0.17	330	75.5	210	141.83	210	5.19	210		999	7.458	300		999	8.100	210	8.707	330	13.8	12.7		-0.945236	-0.898199		
3/25/2023 1:00:00 AM	0.532	210	8.020	210	29.788	210	87.0	8.48	210	0.64	210	0.37	210	7.90	210	0.389	210			1023.18308	210	40.6	210	0.17	330	76.6	210	151.53	210	5.42	210		999	7.446	300		999	8.094	210	8.695	330	13.8	12.7		-0.945877	-0.898834		
3/25/2023 1:15:00 AM	0.535	210	8.014	210	29.789	210	86.7	8.46	210	0.67	210	0.37	210	7.90	210	0.389	210			1023.18446	210	40.2	210	0.17	330	75.7	210	131.04	210	4.08	210		999	7.451	300		999	8.094	210	8.700	330	13.8	12.7		-0.945615	-0.898576		
3/25/2023 1:30:00 AM	0.519	210	8.015	210	29.788	210	86.6	8.45	210	0.64	210	0.38	210	7.90	210	0.394	210			1023.18363	210	40.1	210	0.17	330	75.5	210	141.18	210	3.03	210		999	7.456	300		999	8.091	210	8.706	330	13.8	12.7		-0.945328	-0.898259		
3/25/2023 1:45:00 AM	0.542	210	8.012	210	29.787	210	86.6	8.45	210	0.70	210	0.37	210	7.90	210	0.388	210			1023.18286	210	40.6	210	0.17	330	76.2	210	167.77	210	4.82	210		999	7.459	300		999	8.086	210	8.709	330	13.8	12.7		-0.945132	-0.898103		
3/25/2023 2:00:00 AM	0.537	210	8.014	210	29.787	210	86.6	8.45	210	0.65	210	0.38	210	7.90	210	0.396	210			1023.18315	210	40.2	210	0.17	330	76.8	210	153.05	210	4.17	210		999	7.475	300		999	8.088	210	8.725	330	13.8	12.7		-0.944262	-0.897199		
3/25/2023 2:15:00 AM	0.532	210	8.002	210	29.788	210	86.6	8.45	210	0.70	210	0.36	210	7.90	210	0.390	210			1023.18514	210	40.2	210	0.17	330	77.4	210	172.28	210	5.46	210		999	7.480	300		999	8.086	210	8.730	330	13.8	12.7		-0.943977	-0.896908		
3/25/2023 2:30:00 AM	0.559	210	7.998	210	29.787	210	86.7	8.46	210	0.62	210	0.36	210	7.90	210	0.390	210			1023.18525	210	40.1	210	0.17	330	77.7	210	158.01	210	6.17	210		999	7.487	300		999	8.080	210	8.736	330	13.8	12.7		-0.943609	-0.896562		
3/25/2023 2:45:00 AM	0.520	210	8.002	210	29.788	210	86.6	8.45	210	0.67	210	0.36	210	7.90	210	0.391	210			1023.18495	210	40.1	210	0.17	330	77.3	210	177.93	210	6.05	210		999	7.501	300		999	8.078	210	8.751	330	13.8	12.6		-0.942797	-0.895754		
3/25/2023 3:00:00 AM	0.506	210	8.003	210	29.787	210	86.5	8.44	210	0.63	210	0.39	210	7.90	210	0.391	210			1023.18444	210	39.9	210	0.17	330	76.1	210	174.18	210	4.48	210		999	7.518	300		999	8.079	210	8.767	330	13.8	12.6		-0.941877	-0.894846		
3/25/2023 3:15:00 AM	0.549	210	7.996	210	29.789	210	86.1	8.41	210	0.61	210	0.34	210	7.89	210	0.387	210			1023.18690	210	39.9	210	0.17	330	73.6	210	178.28	210	4.51	210		999	7.525	300		999	8.076	210	8.775	330	13.8	12.6		-0.941474	-0.894404		
