**Legend**
* 
* Marine mooring data provided by King County are preliminary and have not received final approval, unless specified.
* Real-time automatic checks are done to determine if values are outside of sensor ranges or if data are missing, and further data review is performed by data managers on a semi-annual basis. 
* Inaccuracies in the data may be present because of instrument malfunctions.
* Subsequent review may result in significant revisions to the data.
* 
* Data users are cautioned to consider carefully the provisional nature of this data before using it for decisions.
* Prior to using data in publications and for appropriate citation, contact the Marine and Sediment Assessment Group (MarineWQ@kingcounty.gov).
* 
* ----PARAMETERS---
* 
* Starting on Feb. 15, 2017, the SBE HydroCAT-EP sonde will be used at this site for water data. Previously, YSI 6600 V2 sondes were used. The sonde type and unique identifier is stored under ‘Sonde_ID’ column. Satlantic SUNA and SeaFET sensors for are used for nitrate and high-precision pH, respectively.
* Meteorological data collection began in March , 2019 using a Vaisala WXT510 station and RM Young wind monitor HD.
* Parameter names denote measurement unit. Parameters ending in V represent raw voltage values or battery volts. 
* For more details, see mooring specifications: https://green2.kingcounty.gov/marine-buoy/
* 
* Note on the SeaFET: There are several pH parameters reported. The SeaFET measures pH in two ways, using an internal and an external reference. For details, please refer to the SeaFET documentation at www.satlantic.com
* For most users, refer to ‘SeaFET_EXT_pH_wSal’. This value uses the external reference and is automatically recalculated using in-situ salinity.  If salinity data are missing, then the default salinity of 30 PSU is used and pH is qualified as interpolated.
* Methods follow Bresnahan et. al, 2014, Best practices for autonomous measurement of seawater pH with the Durafet, Methods in Oceanography: 44-60.
* For the SUNA nitrate data, refer to ‘SUNA_ Nitrite+Nitrate_N_mg/L_final’ when available, as these data are finalized and, when feasible, corrected for drift following the methods in Pellerin et. al 2013, USGS Techniques and Methods 1-D5
* Site coordinate: Lat 47.53716, Long -122.40612 
* ----QUALIFIER CODES----
* Data for each parameter are followed by a 3-digit qualifier column (where the parameter name is preceded by Qual_). The quality and level of quality control (QC) is denoted for each data value.
* 
*  Summary Qualifier – 1st digit - Denotes status and overall quality of data.
* <1 . . > Finalized – Good – passed secondary review by data manager.
* <2 . . > Provisional – Good – passed initial automatic quality control check.  
* <3 . . > Questionable/suspect data. Use data with much caution.
* <4 . . > Poor/bad data. Avoid using this data.
* <9 . . > Missing data.
*
* Primary Qualifier – 2nd digit – Automatic QC flag.
* <. 0 . > Quality unknown for parameter. Avoid using this data without further review.
* <. 1 . > Passed automatic quality control checks.
* <. 2 . > Sensor failed end check validation after recovery.
* <. 3 . > Value is outside of climatological range by site.
* <. 4 . > Value is outside of measurement range for sensor.
* <. 8 . > Interpolated value, or used an interpolated input value in the calculation. For example, if salinity is missing, then a default salinity is used to calculate pH. 
* <. 9 . > Missing data.
*
* Secondary Qualifier – 3rd digit – Manually applied QC flag after data review by data manager.
* <. . 0> No secondary review completed – Default value.
* <. . 1> Good data, no adjustments made.
* <. . 2> Probably good data, no adjustments made (e.g. sensor failed end check, but previous data looks good).
* <. . 3> Questionable/suspect data (e.g. sensor drift).
* <. . 4> Poor/bad data.
* <. . 5> Value corrected/changed manually.
* <. . 8> Interpolated value, or used an interpolated input value in the calculation. 
* <. . 9> Missing data.
***END***
Date	Depth_m	Qual_Depth	Water_Temperature_degC	Qual_Water_Temperature	Salinity_PSU	Qual_Salinity	Dissolved_Oxygen_%Sat	Dissolved_Oxygen_mg/L	Qual_DO	Chlorophyll_Fluorescence_ug/L	Qual_Chlorophyll_Fluorescence	Turbidity_NTU	Qual_Turbidity	Sonde_pH	Qual_Sonde_pH	SUNA_Nitrite+Nitrate_mgN/L_raw	Qual_SUNA_Nitrite+Nitrate_mgN/L_raw	SUNA_Nitrite+Nitrate_mgN/L_final	Qual_SUNA_Nitrite+Nitrate_mgN/L_final	Density_kg/m^3	Qual_Water_Density	Air_Temperature_F	Qual_Air_Temperature	Surf_PAR_umol/s/sqm	Qual_Surf_PAR	Rel_Humidity_%	Qual_Rel_Hum	Wind_Direction_deg	Qual_Wind_Direction	Wind_Speed_m/sec	Qual_Wind_Speed	SeaFET_External_pH_final_recalc	Qual_SeaFET_External_pH_final_recalc	SeaFET_Internal_pH_raw	Qual_SeaFET_Internal_pH_raw	SeaFET_Internal_pH_recalculated	Qual_SeaFET_Internal_pH_recalculated	SeaFET_Temperature_degC	Qual_SeaFET_Temperature	SeaFET_External_pH_recalc_w_salinity	Qual_SeaFET_External_pH_recalc_w_salinity	Sonde_Batt_V	Logger_Batt_V	Sonde_ID	SEAFET_INT_PH_V	SEAFET_EXT_PH_V	SeaFET_ID	
3/1/2023 1:45:00 AM	0.444	210	7.983	210	29.696	210	83.3	8.14	210	0.50	210	0.34	210	7.84	210	0.421	210			1023.11590	210	37.5	210	0.17	330	82.2	210	30.63	210	1.89	210		999	7.399	300		999	8.089	210	8.650	330	13.8	12.5		-0.948518	-0.901308		
3/1/2023 2:00:00 AM	0.417	210	8.003	210	29.702	210	83.4	8.14	210	0.46	210	0.30	210	7.84	210	0.427	210			1023.11696	210	37.2	210	0.17	330	83.2	210	50.71	210	1.45	210		999	7.384	300		999	8.080	210	8.635	330	13.8	12.5		-0.949352	-0.902154		
3/1/2023 2:15:00 AM	0.437	210	8.010	210	29.699	210	83.2	8.12	210	0.51	210	0.31	210	7.84	210	0.422	210			1023.11355	210	36.1	210	0.17	330	82.9	210	34.97	210	1.94	210		999	7.370	300		999	8.095	210	8.621	330	13.8	12.6		-0.950138	-0.902915		
3/1/2023 2:30:00 AM	0.429	210	8.018	210	29.701	210	83.1	8.11	210	0.46	210	0.29	210	7.84	210	0.420	210			1023.11412	210	36.1	210	0.17	330	84.5	210	36.53	210	1.20	210		999	7.380	300		999	8.094	210	8.631	330	13.8	12.5		-0.949553	-0.902349		
3/1/2023 2:45:00 AM	0.447	210	8.038	210	29.701	210	83.3	8.12	210	0.53	210	0.33	210	7.84	210	0.421	210			1023.11174	210	36.1	210	0.17	330	84.5	210	29.70	210	1.50	210		999	7.377	300		999	8.103	210	8.627	330	13.8	12.5		-0.949718	-0.902541		
3/1/2023 3:00:00 AM	0.438	210	8.036	210	29.700	210	83.2	8.12	210	0.47	210	0.33	210	7.84	210	0.425	210			1023.11086	210	36.1	210	0.17	330	84.8	210	16.45	210	0.85	210		999	7.381	300		999	8.103	210	8.631	330	13.8	12.6		-0.949509	-0.902348		
3/1/2023 3:15:00 AM	0.436	210	8.029	210	29.700	210	83.2	8.12	210	0.52	210	0.29	210	7.84	210	0.428	210			1023.11170	210	36.1	210	0.17	330	84.7	210	49.46	210	1.28	210		999	7.376	300		999	8.103	210	8.625	330	13.8	12.6		-0.949794	-0.902649		
3/1/2023 3:30:00 AM	0.449	210	7.982	210	29.691	210	83.9	8.19	210	0.48	210	0.32	210	7.84	210	0.420	210			1023.11226	210	36.1	210	0.17	330	85.0	210	55.50	210	1.53	210		999	7.366	300		999	8.070	210	8.617	330	13.8	12.5		-0.950331	-0.903129		
3/1/2023 3:45:00 AM	0.445	210	7.984	210	29.692	210	84.1	8.22	210	0.53	210	0.32	210	7.84	210	0.426	210			1023.11211	210	35.9	210	0.17	330	85.2	210	56.92	210	1.44	210		999	7.398	300		999	8.074	210	8.649	330	13.8	12.5		-0.948542	-0.901361		
3/1/2023 4:00:00 AM	0.459	210	7.986	210	29.695	210	84.1	8.22	210	0.50	210	0.33	210	7.84	210	0.416	210			1023.11486	210	35.9	210	0.17	330	84.4	210	48.21	210	2.31	210		999	7.431	300		999	8.056	210	8.683	330	13.8	12.5		-0.946725	-0.899500		
3/1/2023 4:15:00 AM	0.449	210	7.942	210	29.697	210	84.0	8.21	210	0.54	210	0.35	210	7.84	210	0.413	210			1023.12252	210	36.3	210	0.17	330	85.3	210	103.53	210	1.69	210		999	7.436	300		999	8.059	210	8.687	330	13.8	12.6		-0.946434	-0.899239		
3/1/2023 4:30:00 AM	0.457	210	7.976	210	29.703	210	83.9	8.19	210	0.48	210	0.34	210	7.84	210	0.424	210			1023.12254	210	36.3	210	0.17	330	85.0	210	38.46	210	1.70	210		999	7.420	300		999	8.059	210	8.670	330	13.8	12.6		-0.947325	-0.900194		
3/1/2023 4:45:00 AM	0.463	210	7.992	210	29.705	210	83.6	8.17	210	0.51	210	0.36	210	7.84	210	0.431	210			1023.12193	210	34.8	210	0.17	330	85.5	210	52.13	210	2.39	210		999	7.438	300		999	8.062	210	8.689	330	13.8	12.5		-0.946319	-0.899135		
3/1/2023 5:00:00 AM	0.461	210	7.987	210	29.705	210	83.8	8.18	210	0.46	210	0.35	210	7.84	210	0.429	210			1023.12246	210	34.8	210	0.17	330	85.6	210	61.86	210	2.30	210		999	7.438	300		999	8.065	210	8.689	330	13.8	12.6		-0.946358	-0.899154		
