**Legend**
* 
* Marine mooring data provided by King County are preliminary and have not received final approval, unless specified.
* Real-time automatic checks are done to determine if values are outside of sensor ranges or if data are missing, and further data review is performed by data managers on a semi-annual basis. 
* Inaccuracies in the data may be present because of instrument malfunctions.
* Subsequent review may result in significant revisions to the data.
* 
* Data users are cautioned to consider carefully the provisional nature of this data before using it for decisions.
* Prior to using data in publications and for appropriate citation, contact the Marine and Sediment Assessment Group (MarineWQ@kingcounty.gov).
* 
* ----PARAMETERS---
* Site uses SBE HydroCat-EP sondes for water data. Previously, YSI 6600 V2 sondes were used. The sonde type and unique identifier is stored under ‘Sonde_ID’ column. Meteorological data use Vaisala WXT510 stations. 
* 
* 
* 
* Parameter names denote measurement unit. Parameters ending in V represent raw voltage values or battery volts. 
* For more details, see mooring specifications: https://green2.kingcounty.gov/marine-buoy/
* 
* 
* 
* 
* Site coordinates: Lat 47.37611, Long -122.45722 
* ----QUALIFIER CODES----
* Data for each parameter are followed by a 3-digit qualifier column (where the parameter name is preceded by Qual_). The quality and level of quality control (QC) is denoted for each data value.
* 
*  Summary Qualifier – 1st digit - Denotes status and overall quality of data.
* <1 . . > Finalized – Good – passed secondary review by data manager.
* <2 . . > Provisional – Good – passed initial automatic quality control check.  
* <3 . . > Questionable/suspect data. Use data with much caution.
* <4 . . > Poor/bad data. Avoid using this data.
* <9 . . > Missing data.
*
* Primary Qualifier – 2nd digit – Automatic QC flag.
* <. 0 . > Quality unknown for parameter. Avoid using this data without further review.
* <. 1 . > Passed automatic quality control checks.
* <. 2 . > Sensor failed end check validation after recovery.
* <. 3 . > Value is outside of climatological range by site.
* <. 4 . > Value is outside of measurement range for sensor.
* <. 9 . > Missing data.
*
* Secondary Qualifier – 3rd digit – Manually applied QC flag after data review by data manager.
* <. . 0> No secondary review completed – Default value.
* <. . 1> Good data, no adjustments made.
* <. . 2> Probably good data, no adjustments made (e.g. sensor failed end check, but previous data looks good).
* <. . 3> Questionable/suspect data (e.g. sensor drift).
* <. . 4> Poor/bad data.
* <. . 5> Value corrected/changed manually.
* <. . 9> Missing data.
***END***
Date	Depth_m	Qual_Depth	Water_Temperature_degC	Qual_Water_Temperature	Salinity_PSU	Qual_Salinity	Dissolved_Oxygen_%Sat	Dissolved_Oxygen_mg/L	Qual_DO	Chlorophyll_Fluorescence_ug/L	Qual_Chlorophyll_Fluorescence	Turbidity_NTU	Qual_Turbidity	Sonde_pH	Qual_Sonde_pH	Density_kg/m^3	Qual_Water_Density	Air_Temperature_F	Qual_Air_Temperature	Surf_PAR_umol/s/sqm	Qual_Surf_PAR	Air_Pressure_inHg	Qual_Air_Pressure	Rain_Fall_in	Qual_Rain_Fall	Rel_Humidity_%	Qual_Rel_Hum	Wind_Direction_deg	Qual_Wind_Direction	Wind_Speed_m/sec	Qual_Wind_Speed	Sonde_Batt_V	Logger_Batt_V	Sonde_ID	
3/12/2023 12:00:00 AM	6.908	210	7.987	210	29.514	210	97.6	9.54	210	8.94	210	2.12	210	8.03	210	1023.00259	210	38.1	210	1.00	210	29.91	210	0.000	210	90.3	210	160	210	0.5	210	10.6	12.9		
3/12/2023 12:15:00 AM	6.815	210	7.981	210	29.511	210	97.2	9.51	210	9.32	210	1.92	210	8.03	210	1022.99927	210	38.1	210	1.01	210	29.91	210	0.000	210	90.7	210	118	210	0.7	210	10.7	12.8		
3/12/2023 12:30:00 AM	6.740	210	7.984	210	29.514	210	96.7	9.46	210	9.46	210	1.92	210	8.02	210	1023.00148	210	38.1	210	1.00	210	29.92	210	0.000	210	90.9	210	152	210	0.4	210	10.7	12.8		
3/12/2023 12:45:00 AM	6.681	210	7.977	210	29.505	210	97.1	9.49	210	10.25	210	1.82	210	8.03	210	1022.99571	210	37.7	210	1.00	210	29.92	210	0.000	210	91.2	210	160	210	1.1	210	10.6	12.9		
3/12/2023 1:00:00 AM	6.628	210	7.980	210	29.504	210	97.7	9.56	210	11.55	210	1.49	210	8.04	210	1022.99436	210	37.7	210	1.00	210	29.91	210	0.000	210	91.2	210	129	210	0.4	210	10.6	12.8		
3/12/2023 1:15:00 AM	6.597	210	8.032	210	29.461	210	103.4	10.10	210	12.74	210	1.64	210	8.11	210	1022.95275	210	37.4	210	1.01	210	29.91	210	0.000	210	91.4	210	200	210	0.9	210	10.6	12.9		
3/12/2023 1:30:00 AM	6.607	210	8.047	210	29.456	210	106.5	10.40	210	14.27	210	1.60	210	8.13	210	1022.94624	210	37.5	210	1.00	210	29.91	210	0.000	210	91.9	210	81	210	0.3	210	10.6	12.8		
3/12/2023 1:45:00 AM	6.626	210	8.003	210	29.519	210	99.4	9.71	210	9.71	210	3.58	210	8.02	210	1023.00295	210	37.0	210	1.00	210	29.91	210	0.000	210	91.9	210	169	210	0.9	210	10.6	12.8		
3/12/2023 2:00:00 AM	6.656	210	8.011	210	29.524	210	96.8	9.46	210	10.40	210	2.95	210	8.02	210	1023.00542	210	37.0	210	1.00	210	29.91	210	0.000	210	92.0	210	172	210	0.5	210	10.6	12.9		
3/12/2023 2:15:00 AM	6.675	210	8.007	210	29.535	210	96.4	9.42	210	10.50	210	2.45	210	8.01	210	1023.01492	210	37.0	210	1.00	210	29.90	210	0.000	210	92.3	210	73	210	0.9	210	10.6	12.8		
3/12/2023 2:30:00 AM	6.755	210	8.003	210	29.534	210	96.0	9.38	210	9.86	210	1.96	210	8.01	210	1023.01472	210	36.8	210	1.01	210	29.90	210	0.000	210	92.4	210	78	210	1.4	210	10.6	12.8		
3/12/2023 2:45:00 AM	6.847	210	7.997	210	29.523	210	96.9	9.47	210	11.22	210	1.89	210	8.02	210	1023.00759	210	36.3	210	1.00	210	29.89	210	0.000	210	92.3	210	144	210	1.0	210	10.6	12.8		
3/12/2023 3:00:00 AM	6.927	210	8.000	210	29.526	210	97.1	9.49	210	10.53	210	1.53	210	8.02	210	1023.00985	210	37.0	210	1.00	210	29.89	210	0.000	210	92.4	210	71	210	0.8	210	10.6	12.8		
3/12/2023 3:15:00 AM	7.017	210	8.007	210	29.526	210	97.0	9.48	210	7.92	210	1.65	210	8.02	210	1023.00912	210	36.3	210	1.00	210	29.88	210	0.000	210	92.1	210	181	210	0.8	210	10.6	12.8		
3/12/2023 3:30:00 AM	7.138	210	8.008	210	29.525	210	97.3	9.51	210	9.12	210	1.86	210	8.02	210	1023.00882	210	35.9	210	1.00	210	29.88	210	0.000	210	92.3	210	202	210	0.9	210	10.6	12.8		
3/12/2023 3:45:00 AM	7.276	210	8.010	210	29.523	210	97.2	9.50	210	7.10	210	1.60	210	8.02	210	1023.00803	210	35.7	210	1.00	210	29.88	210	0.000	210	92.5	210	186	210	0.8	210	10.6	12.7		
3/12/2023 4:00:00 AM	7.395	210	8.009	210	29.519	210	97.0	9.48	210	7.96	210	1.93	210	8.02	210	1023.00539	210	35.7	210	1.00	210	29.88	210	0.000	210	92.6	210	152	210	0.4	210	10.6	12.7		
3/12/2023 4:15:00 AM	7.519	210	8.015	210	29.524	210	94.8	9.26	210	4.87	210	2.38	210	8.00	210	1023.00900	210	35.7	210	1.00	210	29.87	210	0.000	210	92.8	210	80	210	0.8	210	10.6	12.7		
3/12/2023 4:30:00 AM	7.652	210	8.006	210	29.524	210	94.9	9.27	210	8.07	210	2.49	210	8.01	210	1023.01080	210	35.6	210	1.00	210	29.87	210	0.000	210	92.9	210	99	210	0.6	210	10.6	12.7		
3/12/2023 4:45:00 AM	7.791	210	7.992	210	29.585	210	89.4	8.74	210	6.97	210	2.24	210	7.91	210	1023.06103	210	35.2	210	1.00	210	29.86	210	0.000	210	92.7	210	169	210	0.8	210	10.6	12.7		
