**Legend**
* 
* Marine mooring data provided by King County are preliminary and have not received final approval, unless specified.
* Real-time automatic checks are done to determine if values are outside of sensor ranges or if data are missing, and further data review is performed by data managers on a semi-annual basis. 
* Inaccuracies in the data may be present because of instrument malfunctions.
* Subsequent review may result in significant revisions to the data.
* 
* Data users are cautioned to consider carefully the provisional nature of this data before using it for decisions.
* Prior to using data in publications and for appropriate citation, contact the Marine and Sediment Assessment Group (MarineWQ@kingcounty.gov).
* 
* ----PARAMETERS---
* Site uses SBE HydroCat-EP sondes for water data. Previously, YSI 6600 V2 sondes were used. The sonde type and unique identifier is stored under ‘Sonde_ID’ column. Meteorological data use Vaisala WXT510 stations. 
* 
* 
* 
* Parameter names denote measurement unit. Parameters ending in V represent raw voltage values or battery volts. 
* For more details, see mooring specifications: https://green2.kingcounty.gov/marine-buoy/
* 
* 
* 
* 
* Site coordinates: Lat 47.37611, Long -122.45722 
* ----QUALIFIER CODES----
* Data for each parameter are followed by a 3-digit qualifier column (where the parameter name is preceded by Qual_). The quality and level of quality control (QC) is denoted for each data value.
* 
*  Summary Qualifier – 1st digit - Denotes status and overall quality of data.
* <1 . . > Finalized – Good – passed secondary review by data manager.
* <2 . . > Provisional – Good – passed initial automatic quality control check.  
* <3 . . > Questionable/suspect data. Use data with much caution.
* <4 . . > Poor/bad data. Avoid using this data.
* <9 . . > Missing data.
*
* Primary Qualifier – 2nd digit – Automatic QC flag.
* <. 0 . > Quality unknown for parameter. Avoid using this data without further review.
* <. 1 . > Passed automatic quality control checks.
* <. 2 . > Sensor failed end check validation after recovery.
* <. 3 . > Value is outside of climatological range by site.
* <. 4 . > Value is outside of measurement range for sensor.
* <. 9 . > Missing data.
*
* Secondary Qualifier – 3rd digit – Manually applied QC flag after data review by data manager.
* <. . 0> No secondary review completed – Default value.
* <. . 1> Good data, no adjustments made.
* <. . 2> Probably good data, no adjustments made (e.g. sensor failed end check, but previous data looks good).
* <. . 3> Questionable/suspect data (e.g. sensor drift).
* <. . 4> Poor/bad data.
* <. . 5> Value corrected/changed manually.
* <. . 9> Missing data.
***END***
Date	Depth_m	Qual_Depth	Water_Temperature_degC	Qual_Water_Temperature	Salinity_PSU	Qual_Salinity	Dissolved_Oxygen_%Sat	Dissolved_Oxygen_mg/L	Qual_DO	Chlorophyll_Fluorescence_ug/L	Qual_Chlorophyll_Fluorescence	Turbidity_NTU	Qual_Turbidity	Sonde_pH	Qual_Sonde_pH	Density_kg/m^3	Qual_Water_Density	Air_Temperature_F	Qual_Air_Temperature	Surf_PAR_umol/s/sqm	Qual_Surf_PAR	Air_Pressure_inHg	Qual_Air_Pressure	Rain_Fall_in	Qual_Rain_Fall	Rel_Humidity_%	Qual_Rel_Hum	Wind_Direction_deg	Qual_Wind_Direction	Wind_Speed_m/sec	Qual_Wind_Speed	Sonde_Batt_V	Logger_Batt_V	Sonde_ID	
4/12/2023 12:00:00 AM	8.330	210	8.499	210	29.539	210	93.7	9.05	210	7.27	210	1.75	210	7.93	210	1022.95638	210	41.1	210	1.01	210	30.00	210	0.000	210	77.7	210	174	210	1.0	210	13.8	12.9		
4/12/2023 12:15:00 AM	8.271	210	8.490	210	29.548	210	93.5	9.04	210	8.05	210	1.72	210	7.92	210	1022.96476	210	41.1	210	1.02	210	30.00	210	0.000	210	80.0	210	154	210	0.5	210	13.8	12.8		
4/12/2023 12:30:00 AM	8.215	210	8.476	210	29.558	210	93.6	9.05	210	7.11	210	1.45	210	7.92	210	1022.97393	210	41.0	210	1.01	210	29.99	210	0.000	210	78.7	210	164	210	0.8	210	13.8	12.8		
4/12/2023 12:45:00 AM	8.152	210	8.464	210	29.574	210	92.2	8.92	210	6.09	210	1.62	210	7.91	210	1022.98721	210	41.0	210	1.02	210	29.99	210	0.000	210	80.2	210	105	210	0.6	210	13.8	12.8		
4/12/2023 1:00:00 AM	8.067	210	8.464	210	29.570	210	92.5	8.95	210	7.05	210	1.25	210	7.91	210	1022.98417	210	40.8	210	1.01	210	29.99	210	0.000	210	81.8	210	49	210	0.5	210	13.8	12.8		
4/12/2023 1:15:00 AM	7.983	210	8.484	210	29.555	210	92.6	8.95	210	8.21	210	1.52	210	7.91	210	1022.96987	210	41.0	210	1.02	210	29.99	210	0.000	210	81.6	210	111	210	0.6	210	13.8	12.8		
4/12/2023 1:30:00 AM	7.917	210	8.475	210	29.566	210	92.0	8.89	210	6.86	210	1.93	210	7.91	210	1022.97847	210	41.1	210	1.01	210	29.99	210	0.000	210	83.2	210	160	210	0.7	210	13.8	12.8		
4/12/2023 1:45:00 AM	7.850	210	8.466	210	29.564	210	93.5	9.04	210	8.07	210	1.26	210	7.92	210	1022.97805	210	41.1	210	1.01	210	29.99	210	0.000	210	84.2	210	150	210	0.5	210	13.8	12.9		
4/12/2023 2:00:00 AM	7.790	210	8.458	210	29.571	210	93.2	9.01	210	7.28	210	1.38	210	7.91	210	1022.98494	210	41.0	210	1.01	210	29.98	210	0.000	210	82.7	210	116	210	0.6	210	13.8	12.8		
4/12/2023 2:15:00 AM	7.727	210	8.458	210	29.575	210	92.1	8.90	210	8.43	210	1.41	210	7.91	210	1022.98701	210	41.0	210	1.02	210	29.98	210	0.000	210	81.7	210	62	210	1.1	210	13.8	12.8		
4/12/2023 2:30:00 AM	7.687	210	8.459	210	29.575	210	91.5	8.85	210	6.75	210	1.30	210	7.90	210	1022.98696	210	41.0	210	1.02	210	29.98	210	0.000	210	83.9	210	138	210	0.4	210	13.8	12.8		
4/12/2023 2:45:00 AM	7.648	210	8.458	210	29.578	210	90.9	8.79	210	6.45	210	1.55	210	7.90	210	1022.98927	210	40.6	210	1.01	210	29.98	210	0.000	210	84.2	210	171	210	1.0	210	13.8	12.8		
4/12/2023 3:00:00 AM	7.613	210	8.451	210	29.580	210	91.6	8.86	210	6.91	210	1.00	210	7.90	210	1022.99193	210	40.8	210	1.01	210	29.99	210	0.000	210	84.6	210	110	210	1.0	210	13.8	12.8		
