**Legend**
* 
* Marine mooring data provided by King County are preliminary and have not received final approval, unless specified.
* Real-time automatic checks are done to determine if values are outside of sensor ranges or if data are missing, and further data review is performed by data managers on a semi-annual basis. 
* Inaccuracies in the data may be present because of instrument malfunctions.
* Subsequent review may result in significant revisions to the data.
* 
* Data users are cautioned to consider carefully the provisional nature of this data before using it for decisions.
* Prior to using data in publications and for appropriate citation, contact the Marine and Sediment Assessment Group (MarineWQ@kingcounty.gov).
* 
* ----PARAMETERS---
* 
* Starting on Feb. 15, 2017, the SBE HydroCAT-EP sonde will be used at this site for water data. Previously, YSI 6600 V2 sondes were used. The sonde type and unique identifier is stored under ‘Sonde_ID’ column. Satlantic SUNA and SeaFET sensors for are used for nitrate and high-precision pH, respectively.
* Meteorological data collection began in March , 2019 using a Vaisala WXT510 station and RM Young wind monitor HD.
* Parameter names denote measurement unit. Parameters ending in V represent raw voltage values or battery volts. 
* For more details, see mooring specifications: https://green2.kingcounty.gov/marine-buoy/
* 
* Note on the SeaFET: There are several pH parameters reported. The SeaFET measures pH in two ways, using an internal and an external reference. For details, please refer to the SeaFET documentation at www.satlantic.com
* For most users, refer to ‘SeaFET_EXT_pH_wSal’. This value uses the external reference and is automatically recalculated using in-situ salinity.  If salinity data are missing, then the default salinity of 30 PSU is used and pH is qualified as interpolated.
* Methods follow Bresnahan et. al, 2014, Best practices for autonomous measurement of seawater pH with the Durafet, Methods in Oceanography: 44-60.
* For the SUNA nitrate data, refer to ‘SUNA_ Nitrite+Nitrate_N_mg/L_final’ when available, as these data are finalized and, when feasible, corrected for drift following the methods in Pellerin et. al 2013, USGS Techniques and Methods 1-D5
* Site coordinate: Lat 47.53716, Long -122.40612 
* ----QUALIFIER CODES----
* Data for each parameter are followed by a 3-digit qualifier column (where the parameter name is preceded by Qual_). The quality and level of quality control (QC) is denoted for each data value.
* 
*  Summary Qualifier – 1st digit - Denotes status and overall quality of data.
* <1 . . > Finalized – Good – passed secondary review by data manager.
* <2 . . > Provisional – Good – passed initial automatic quality control check.  
* <3 . . > Questionable/suspect data. Use data with much caution.
* <4 . . > Poor/bad data. Avoid using this data.
* <9 . . > Missing data.
*
* Primary Qualifier – 2nd digit – Automatic QC flag.
* <. 0 . > Quality unknown for parameter. Avoid using this data without further review.
* <. 1 . > Passed automatic quality control checks.
* <. 2 . > Sensor failed end check validation after recovery.
* <. 3 . > Value is outside of climatological range by site.
* <. 4 . > Value is outside of measurement range for sensor.
* <. 8 . > Interpolated value, or used an interpolated input value in the calculation. For example, if salinity is missing, then a default salinity is used to calculate pH. 
* <. 9 . > Missing data.
*
* Secondary Qualifier – 3rd digit – Manually applied QC flag after data review by data manager.
* <. . 0> No secondary review completed – Default value.
* <. . 1> Good data, no adjustments made.
* <. . 2> Probably good data, no adjustments made (e.g. sensor failed end check, but previous data looks good).
* <. . 3> Questionable/suspect data (e.g. sensor drift).
* <. . 4> Poor/bad data.
* <. . 5> Value corrected/changed manually.
* <. . 8> Interpolated value, or used an interpolated input value in the calculation. 
* <. . 9> Missing data.
***END***
Date	Depth_m	Qual_Depth	Water_Temperature_degC	Qual_Water_Temperature	Salinity_PSU	Qual_Salinity	Dissolved_Oxygen_%Sat	Dissolved_Oxygen_mg/L	Qual_DO	Chlorophyll_Fluorescence_ug/L	Qual_Chlorophyll_Fluorescence	Turbidity_NTU	Qual_Turbidity	Sonde_pH	Qual_Sonde_pH	SUNA_Nitrite+Nitrate_mgN/L_raw	Qual_SUNA_Nitrite+Nitrate_mgN/L_raw	SUNA_Nitrite+Nitrate_mgN/L_final	Qual_SUNA_Nitrite+Nitrate_mgN/L_final	Density_kg/m^3	Qual_Water_Density	Air_Temperature_F	Qual_Air_Temperature	Surf_PAR_umol/s/sqm	Qual_Surf_PAR	Rel_Humidity_%	Qual_Rel_Hum	Wind_Direction_deg	Qual_Wind_Direction	Wind_Speed_m/sec	Qual_Wind_Speed	SeaFET_External_pH_final_recalc	Qual_SeaFET_External_pH_final_recalc	SeaFET_Internal_pH_raw	Qual_SeaFET_Internal_pH_raw	SeaFET_Internal_pH_recalculated	Qual_SeaFET_Internal_pH_recalculated	SeaFET_Temperature_degC	Qual_SeaFET_Temperature	SeaFET_External_pH_recalc_w_salinity	Qual_SeaFET_External_pH_recalc_w_salinity	Sonde_Batt_V	Logger_Batt_V	Sonde_ID	SEAFET_INT_PH_V	SEAFET_EXT_PH_V	SeaFET_ID	
2/25/2023 12:00:00 AM	0.500	210	8.078	210	29.714	210	82.7	8.06	210	0.45	210	0.43	210	7.83	210	0.425	210			1023.11673	210	32.7	210	0.17	330	52.4	210	54.92	210	3.09	210		999	7.512	300		999	8.153	210	8.762	330	13.8	12.6		-0.942204	-0.894989		
2/25/2023 12:15:00 AM	0.496	210	8.100	210	29.722	210	82.7	8.05	210	0.49	210	0.43	210	7.83	210	0.420	210			1023.11981	210	32.5	210	0.17	330	55.8	210	64.69	210	3.20	210		999	7.508	300		999	8.150	210	8.758	330	13.8	12.7		-0.942411	-0.895242		
2/25/2023 12:30:00 AM	0.500	210	8.103	210	29.718	210	82.7	8.06	210	0.45	210	0.40	210	7.83	210	0.415	210			1023.11621	210	32.7	210	0.17	330	54.1	210	43.82	210	2.39	210		999	7.502	300		999	8.167	210	8.753	330	13.8	12.6		-0.942737	-0.895515		
2/25/2023 12:45:00 AM	0.484	210	8.088	210	29.718	210	82.6	8.05	210	0.50	210	0.43	210	7.83	210	0.423	210			1023.11841	210	32.3	210	0.17	330	59.4	210	49.76	210	2.34	210		999	7.483	300		999	8.164	210	8.733	330	13.8	12.6		-0.943818	-0.896605		
2/25/2023 1:00:00 AM	0.480	210	8.061	210	29.717	210	82.8	8.07	210	0.44	210	0.41	210	7.83	210	0.410	210			1023.12168	210	32.5	210	0.17	330	55.3	210	57.80	210	3.08	210		999	7.480	300		999	8.162	210	8.730	330	13.8	12.6		-0.943956	-0.896763		
2/25/2023 1:15:00 AM	0.491	210	8.050	210	29.717	210	82.9	8.08	210	0.49	210	0.38	210	7.83	210	0.421	210			1023.12336	210	32.5	210	0.17	330	55.5	210	61.78	210	2.43	210		999	7.483	300		999	8.150	210	8.733	330	13.8	12.6		-0.943807	-0.896615		
2/25/2023 1:30:00 AM	0.493	210	8.084	210	29.717	210	82.9	8.08	210	0.49	210	0.43	210	7.83	210	0.418	210			1023.11832	210	32.3	210	0.17	330	56.4	210	57.31	210	2.65	210		999	7.481	300		999	8.148	210	8.731	330	13.8	12.7		-0.943935	-0.896714		
2/25/2023 1:45:00 AM	0.503	210	8.063	210	29.719	210	82.9	8.08	210	0.52	210	0.42	210	7.83	210	0.420	210			1023.12265	210	32.7	210	0.17	330	55.2	210	84.46	210	2.33	210		999	7.468	300		999	8.152	210	8.718	330	13.8	12.6		-0.944657	-0.897453		
2/25/2023 2:00:00 AM	0.498	210	8.069	210	29.719	210	82.9	8.08	210	0.50	210	0.42	210	7.83	210	0.425	210			1023.12175	210	32.3	210	0.17	330	54.9	210	51.50	210	2.50	210		999	7.481	300		999	8.138	210	8.731	330	13.8	12.7		-0.943945	-0.896761		
2/25/2023 2:15:00 AM	0.497	210	8.045	210	29.718	210	82.9	8.08	210	0.53	210	0.40	210	7.83	210	0.418	210			1023.12455	210	32.3	210	0.17	330	56.2	210	47.04	210	3.05	210		999	7.460	300		999	8.141	210	8.711	330	13.8	12.6		-0.945096	-0.897874		
2/25/2023 2:30:00 AM	0.497	210	8.037	210	29.721	210	83.1	8.10	210	0.49	210	0.41	210	7.83	210	0.422	210			1023.12802	210	32.1	210	0.17	330	55.2	210	51.04	210	2.74	210		999	7.443	300		999	8.139	210	8.694	330	13.8	12.6		-0.946021	-0.898806		
2/25/2023 2:45:00 AM	0.505	210	8.041	210	29.718	210	83.1	8.10	210	0.53	210	0.38	210	7.83	210	0.434	210			1023.12504	210	32.3	210	0.17	330	58.1	210	40.26	210	2.76	210		999	7.447	300		999	8.137	210	8.698	330	13.8	12.6		-0.945840	-0.898610		
2/25/2023 3:00:00 AM	0.498	210	8.072	210	29.718	210	83.0	8.09	210	0.48	210	0.42	210	7.83	210	0.425	210			1023.12080	210	32.5	210	0.17	330	57.7	210	56.99	210	2.75	210		999	7.427	300		999	8.130	210	8.677	330	13.8	12.6		-0.946955	-0.899765		
2/25/2023 3:15:00 AM	0.494	210	8.023	210	29.717	210	83.0	8.10	210	0.52	210	0.41	210	7.83	210	0.419	210			1023.12707	210	32.5	210	0.17	330	53.7	210	55.13	210	3.06	210		999	7.409	300		999	8.133	210	8.660	330	13.8	12.7		-0.947934	-0.900728		
2/25/2023 3:30:00 AM	0.496	210	8.054	210	29.717	210	83.0	8.09	210	0.47	210	0.47	210	7.83	210	0.425	210			1023.12222	210	32.5	210	0.17	330	55.4	210	66.52	210	2.93	210		999	7.416	300		999	8.121	210	8.667	330	13.8	12.6		-0.947537	-0.900331		
2/25/2023 3:45:00 AM	0.499	210	8.059	210	29.718	210	83.0	8.09	210	0.50	210	0.43	210	7.83	210	0.415	210			1023.12243	210	32.5	210	0.17	330	54.5	210	66.18	210	2.71	210		999	7.432	300		999	8.129	210	8.683	330	13.8	12.6		-0.946652	-0.899432		
2/25/2023 4:00:00 AM	0.505	210	8.033	210	29.718	210	83.0	8.09	210	0.44	210	0.40	210	7.83	210	0.413	210			1023.12622	210	32.3	210	0.17	330	57.5	210	50.58	210	2.25	210		999	7.488	300		999	8.118	210	8.738	330	13.8	12.6		-0.943549	-0.896378		
2/25/2023 4:15:00 AM	0.499	210	7.998	210	29.676	210	83.1	8.12	210	0.49	210	0.41	210	7.83	210	0.438	210			1023.09833	210	32.5	210	0.17	330	56.3	210	51.25	210	2.84	210		999	7.538	300		999	8.106	210	8.787	330	13.8	12.6		-0.940772	-0.893602		
2/25/2023 4:30:00 AM	0.496	210	8.070	210	29.703	210	83.0	8.09	210	0.46	210	0.41	210	7.83	210	0.427	210			1023.10928	210	32.7	210	0.17	330	56.8	210	56.37	210	2.40	210		999	7.571	300		999	8.133	210	8.821	330	13.8	12.6		-0.938922	-0.891702		
2/25/2023 4:45:00 AM	0.494	210	8.056	210	29.712	210	83.0	8.09	210	0.51	210	0.41	210	7.83	210	0.425	210			1023.11810	210	32.7	210	0.17	330	58.8	210	59.92	210	2.71	210		999	7.560	300		999	8.135	210	8.811	330	13.8	12.6		-0.939514	-0.892271		
2/25/2023 5:00:00 AM	0.507	210	8.065	210	29.721	210	82.9	8.08	210	0.46	210	0.44	210	7.83	210	0.417	210			1023.12397	210	32.5	210	0.17	330	55.8	210	63.71	210	2.50	210		999	7.575	300		999	8.118	210	8.826	330	13.8	12.6		-0.938681	-0.891439		
