**Legend**
* 
* Marine mooring data provided by King County are preliminary and have not received final approval, unless specified.
* Real-time automatic checks are done to determine if values are outside of sensor ranges or if data are missing, and further data review is performed by data managers on a semi-annual basis. 
* Inaccuracies in the data may be present because of instrument malfunctions.
* Subsequent review may result in significant revisions to the data.
* 
* Data users are cautioned to consider carefully the provisional nature of this data before using it for decisions.
* Prior to using data in publications and for appropriate citation, contact the Marine and Sediment Assessment Group (MarineWQ@kingcounty.gov).
* 
* ----PARAMETERS---
* 
* Starting on Feb. 15, 2017, the SBE HydroCAT-EP sonde will be used at this site for water data. Previously, YSI 6600 V2 sondes were used. The sonde type and unique identifier is stored under ‘Sonde_ID’ column. Satlantic SUNA and SeaFET sensors for are used for nitrate and high-precision pH, respectively.
* Meteorological data collection began in March , 2019 using a Vaisala WXT510 station and RM Young wind monitor HD.
* Parameter names denote measurement unit. Parameters ending in V represent raw voltage values or battery volts. 
* For more details, see mooring specifications: https://green2.kingcounty.gov/marine-buoy/
* 
* Note on the SeaFET: There are several pH parameters reported. The SeaFET measures pH in two ways, using an internal and an external reference. For details, please refer to the SeaFET documentation at www.satlantic.com
* For most users, refer to ‘SeaFET_EXT_pH_wSal’. This value uses the external reference and is automatically recalculated using in-situ salinity.  If salinity data are missing, then the default salinity of 30 PSU is used and pH is qualified as interpolated.
* Methods follow Bresnahan et. al, 2014, Best practices for autonomous measurement of seawater pH with the Durafet, Methods in Oceanography: 44-60.
* For the SUNA nitrate data, refer to ‘SUNA_ Nitrite+Nitrate_N_mg/L_final’ when available, as these data are finalized and, when feasible, corrected for drift following the methods in Pellerin et. al 2013, USGS Techniques and Methods 1-D5
* Site coordinate: Lat 47.53716, Long -122.40612 
* ----QUALIFIER CODES----
* Data for each parameter are followed by a 3-digit qualifier column (where the parameter name is preceded by Qual_). The quality and level of quality control (QC) is denoted for each data value.
* 
*  Summary Qualifier – 1st digit - Denotes status and overall quality of data.
* <1 . . > Finalized – Good – passed secondary review by data manager.
* <2 . . > Provisional – Good – passed initial automatic quality control check.  
* <3 . . > Questionable/suspect data. Use data with much caution.
* <4 . . > Poor/bad data. Avoid using this data.
* <9 . . > Missing data.
*
* Primary Qualifier – 2nd digit – Automatic QC flag.
* <. 0 . > Quality unknown for parameter. Avoid using this data without further review.
* <. 1 . > Passed automatic quality control checks.
* <. 2 . > Sensor failed end check validation after recovery.
* <. 3 . > Value is outside of climatological range by site.
* <. 4 . > Value is outside of measurement range for sensor.
* <. 8 . > Interpolated value, or used an interpolated input value in the calculation. For example, if salinity is missing, then a default salinity is used to calculate pH. 
* <. 9 . > Missing data.
*
* Secondary Qualifier – 3rd digit – Manually applied QC flag after data review by data manager.
* <. . 0> No secondary review completed – Default value.
* <. . 1> Good data, no adjustments made.
* <. . 2> Probably good data, no adjustments made (e.g. sensor failed end check, but previous data looks good).
* <. . 3> Questionable/suspect data (e.g. sensor drift).
* <. . 4> Poor/bad data.
* <. . 5> Value corrected/changed manually.
* <. . 8> Interpolated value, or used an interpolated input value in the calculation. 
* <. . 9> Missing data.
***END***
Date	Depth_m	Qual_Depth	Water_Temperature_degC	Qual_Water_Temperature	Salinity_PSU	Qual_Salinity	Dissolved_Oxygen_%Sat	Dissolved_Oxygen_mg/L	Qual_DO	Chlorophyll_Fluorescence_ug/L	Qual_Chlorophyll_Fluorescence	Turbidity_NTU	Qual_Turbidity	Sonde_pH	Qual_Sonde_pH	SUNA_Nitrite+Nitrate_mgN/L_raw	Qual_SUNA_Nitrite+Nitrate_mgN/L_raw	SUNA_Nitrite+Nitrate_mgN/L_final	Qual_SUNA_Nitrite+Nitrate_mgN/L_final	Density_kg/m^3	Qual_Water_Density	Air_Temperature_F	Qual_Air_Temperature	Surf_PAR_umol/s/sqm	Qual_Surf_PAR	Rel_Humidity_%	Qual_Rel_Hum	Wind_Direction_deg	Qual_Wind_Direction	Wind_Speed_m/sec	Qual_Wind_Speed	SeaFET_External_pH_final_recalc	Qual_SeaFET_External_pH_final_recalc	SeaFET_Internal_pH_raw	Qual_SeaFET_Internal_pH_raw	SeaFET_Internal_pH_recalculated	Qual_SeaFET_Internal_pH_recalculated	SeaFET_Temperature_degC	Qual_SeaFET_Temperature	SeaFET_External_pH_recalc_w_salinity	Qual_SeaFET_External_pH_recalc_w_salinity	Sonde_Batt_V	Logger_Batt_V	Sonde_ID	SEAFET_INT_PH_V	SEAFET_EXT_PH_V	SeaFET_ID	
3/12/2023 12:00:00 AM	0.444	210	7.917	210	29.761	210	84.3	8.24	210	0.43	210	0.33	210	7.87	210	0.411	210			1023.17564	210	42.4	210	0.17	330	76.8	210	81.72	210	0.63	210		999	7.668	300		999	8.002	210	8.915	330	13.8	12.8		-0.933507	-0.886637		
3/12/2023 12:15:00 AM	0.439	210	7.931	210	29.759	210	84.4	8.25	210	0.51	210	0.33	210	7.87	210	0.391	210			1023.17133	210	42.4	210	0.17	330	78.4	210	74.52	210	0.32	210		999	7.666	300		999	8.000	210	8.912	330	13.8	12.8		-0.933629	-0.886806		
3/12/2023 12:30:00 AM	0.440	210	7.921	210	29.762	210	84.3	8.24	210	0.49	210	0.32	210	7.87	210	0.401	210			1023.17495	210	42.6	210	0.17	330	75.3	210	114.22	210	0.44	210		999	7.657	300		999	8.003	210	8.903	330	13.8	12.8		-0.934130	-0.887315		
3/12/2023 12:45:00 AM	0.437	210	7.913	210	29.765	210	84.2	8.24	210	0.56	210	0.31	210	7.87	210	0.404	210			1023.17803	210	42.0	210	0.17	330	76.8	210	119.01	210	0.54	210		999	7.646	300		999	7.998	210	8.892	330	13.8	12.8		-0.934741	-0.887916		
3/12/2023 1:00:00 AM	0.438	210	7.911	210	29.761	210	84.2	8.23	210	0.48	210	0.32	210	7.87	210	0.416	210			1023.17568	210	42.8	210	0.17	330	71.3	210	96.51	210	2.15	210		999	7.630	300		999	7.989	210	8.877	330	13.8	12.8		-0.935635	-0.888791		
3/12/2023 1:15:00 AM	0.432	210	7.906	210	29.762	210	84.2	8.24	210	0.52	210	0.31	210	7.87	210	0.414	210			1023.17725	210	41.9	210	0.17	330	74.9	210	73.59	210	0.90	210		999	7.629	300		999	7.987	210	8.876	330	13.8	12.8		-0.935670	-0.888814		
3/12/2023 1:30:00 AM	0.432	210	7.900	210	29.757	210	84.3	8.24	210	0.48	210	0.31	210	7.87	210	0.407	210			1023.17399	210	41.3	210	0.17	330	76.6	210	76.39	210	0.94	210		999	7.630	300		999	7.981	210	8.877	330	13.8	12.8		-0.935659	-0.888788		
3/12/2023 1:45:00 AM	0.429	210	7.892	210	29.759	210	84.3	8.24	210	0.49	210	0.30	210	7.87	210	0.401	210			1023.17637	210	41.0	210	0.17	330	78.0	210	73.84	210	0.74	210		999	7.623	300		999	7.989	210	8.870	330	13.8	12.8		-0.936018	-0.889152		
3/12/2023 2:00:00 AM	0.429	210	7.906	210	29.764	210	84.2	8.24	210	0.46	210	0.32	210	7.87	210	0.402	210			1023.17887	210	40.8	210	0.17	330	78.8	210	86.95	210	1.12	210		999	7.610	300		999	7.986	210	8.857	330	13.8	12.8		-0.936742	-0.889886		
3/12/2023 2:15:00 AM	0.430	210	7.915	210	29.771	210	84.2	8.23	210	0.51	210	0.30	210	7.87	210	0.406	210			1023.18253	210	41.0	210	0.17	330	78.7	210	102.72	210	1.10	210		999	7.603	300		999	7.993	210	8.851	330	13.8	12.8		-0.937134	-0.890220		
3/12/2023 2:30:00 AM	0.430	210	7.902	210	29.770	210	84.1	8.23	210	0.47	210	0.30	210	7.87	210	0.405	210			1023.18407	210	40.6	210	0.17	330	79.0	210	88.35	210	1.26	210		999	7.610	300		999	7.988	210	8.858	330	13.8	12.8		-0.936738	-0.889831		
3/12/2023 2:45:00 AM	0.425	210	7.925	210	29.771	210	84.1	8.22	210	0.53	210	0.32	210	7.87	210	0.414	210			1023.18161	210	40.6	210	0.17	330	79.4	210	72.78	210	0.95	210		999	7.609	300		999	7.991	210	8.856	330	13.8	12.7		-0.936822	-0.889927		
3/12/2023 3:00:00 AM	0.426	210	7.912	210	29.767	210	84.0	8.22	210	0.46	210	0.34	210	7.87	210	0.391	210			1023.18034	210	39.7	210	0.17	330	78.7	210	68.19	210	0.98	210		999	7.605	300		999	7.988	210	8.852	330	13.8	12.7		-0.937025	-0.890155		
3/12/2023 3:15:00 AM	0.422	210	7.911	210	29.769	210	84.1	8.22	210	0.49	210	0.31	210	7.87	210	0.404	210			1023.18150	210	39.2	210	0.17	330	77.9	210	47.89	210	2.32	210		999	7.599	300		999	7.985	210	8.847	330	13.8	12.8		-0.937346	-0.890454		
