**Legend**
* 
* Marine mooring data provided by King County are preliminary and have not received final approval, unless specified.
* Real-time automatic checks are done to determine if values are outside of sensor ranges or if data are missing, and further data review is performed by data managers on a semi-annual basis. 
* Inaccuracies in the data may be present because of instrument malfunctions.
* Subsequent review may result in significant revisions to the data.
* 
* Data users are cautioned to consider carefully the provisional nature of this data before using it for decisions.
* Prior to using data in publications and for appropriate citation, contact the Marine and Sediment Assessment Group (MarineWQ@kingcounty.gov).
* 
* ----PARAMETERS---
* 
* Starting on Feb. 15, 2017, the SBE HydroCAT-EP sonde will be used at this site for water data. Previously, YSI 6600 V2 sondes were used. The sonde type and unique identifier is stored under ‘Sonde_ID’ column. Satlantic SUNA and SeaFET sensors for are used for nitrate and high-precision pH, respectively.
* Meteorological data collection began in March , 2019 using a Vaisala WXT510 station and RM Young wind monitor HD.
* Parameter names denote measurement unit. Parameters ending in V represent raw voltage values or battery volts. 
* For more details, see mooring specifications: https://green2.kingcounty.gov/marine-buoy/
* 
* Note on the SeaFET: There are several pH parameters reported. The SeaFET measures pH in two ways, using an internal and an external reference. For details, please refer to the SeaFET documentation at www.satlantic.com
* For most users, refer to ‘SeaFET_EXT_pH_wSal’. This value uses the external reference and is automatically recalculated using in-situ salinity.  If salinity data are missing, then the default salinity of 30 PSU is used and pH is qualified as interpolated.
* Methods follow Bresnahan et. al, 2014, Best practices for autonomous measurement of seawater pH with the Durafet, Methods in Oceanography: 44-60.
* For the SUNA nitrate data, refer to ‘SUNA_ Nitrite+Nitrate_N_mg/L_final’ when available, as these data are finalized and, when feasible, corrected for drift following the methods in Pellerin et. al 2013, USGS Techniques and Methods 1-D5
* Site coordinate: Lat 47.53716, Long -122.40612 
* ----QUALIFIER CODES----
* Data for each parameter are followed by a 3-digit qualifier column (where the parameter name is preceded by Qual_). The quality and level of quality control (QC) is denoted for each data value.
* 
*  Summary Qualifier – 1st digit - Denotes status and overall quality of data.
* <1 . . > Finalized – Good – passed secondary review by data manager.
* <2 . . > Provisional – Good – passed initial automatic quality control check.  
* <3 . . > Questionable/suspect data. Use data with much caution.
* <4 . . > Poor/bad data. Avoid using this data.
* <9 . . > Missing data.
*
* Primary Qualifier – 2nd digit – Automatic QC flag.
* <. 0 . > Quality unknown for parameter. Avoid using this data without further review.
* <. 1 . > Passed automatic quality control checks.
* <. 2 . > Sensor failed end check validation after recovery.
* <. 3 . > Value is outside of climatological range by site.
* <. 4 . > Value is outside of measurement range for sensor.
* <. 8 . > Interpolated value, or used an interpolated input value in the calculation. For example, if salinity is missing, then a default salinity is used to calculate pH. 
* <. 9 . > Missing data.
*
* Secondary Qualifier – 3rd digit – Manually applied QC flag after data review by data manager.
* <. . 0> No secondary review completed – Default value.
* <. . 1> Good data, no adjustments made.
* <. . 2> Probably good data, no adjustments made (e.g. sensor failed end check, but previous data looks good).
* <. . 3> Questionable/suspect data (e.g. sensor drift).
* <. . 4> Poor/bad data.
* <. . 5> Value corrected/changed manually.
* <. . 8> Interpolated value, or used an interpolated input value in the calculation. 
* <. . 9> Missing data.
***END***
Date	Depth_m	Qual_Depth	Water_Temperature_degC	Qual_Water_Temperature	Salinity_PSU	Qual_Salinity	Dissolved_Oxygen_%Sat	Dissolved_Oxygen_mg/L	Qual_DO	Chlorophyll_Fluorescence_ug/L	Qual_Chlorophyll_Fluorescence	Turbidity_NTU	Qual_Turbidity	Sonde_pH	Qual_Sonde_pH	SUNA_Nitrite+Nitrate_mgN/L_raw	Qual_SUNA_Nitrite+Nitrate_mgN/L_raw	SUNA_Nitrite+Nitrate_mgN/L_final	Qual_SUNA_Nitrite+Nitrate_mgN/L_final	Density_kg/m^3	Qual_Water_Density	Air_Temperature_F	Qual_Air_Temperature	Surf_PAR_umol/s/sqm	Qual_Surf_PAR	Rel_Humidity_%	Qual_Rel_Hum	Wind_Direction_deg	Qual_Wind_Direction	Wind_Speed_m/sec	Qual_Wind_Speed	SeaFET_External_pH_final_recalc	Qual_SeaFET_External_pH_final_recalc	SeaFET_Internal_pH_raw	Qual_SeaFET_Internal_pH_raw	SeaFET_Internal_pH_recalculated	Qual_SeaFET_Internal_pH_recalculated	SeaFET_Temperature_degC	Qual_SeaFET_Temperature	SeaFET_External_pH_recalc_w_salinity	Qual_SeaFET_External_pH_recalc_w_salinity	Sonde_Batt_V	Logger_Batt_V	Sonde_ID	SEAFET_INT_PH_V	SEAFET_EXT_PH_V	SeaFET_ID	
7/1/2022 12:00:00 AM	0.619	111	12.796	111	28.432	111	116.3	10.31	111	11.59	111	0.73	111	8.88	320	0.206	210			1021.35071	111	58.4	111	0.16	131	77.1	111	332.33	111	6.04	414		999	8.053	300		999	12.848	210		440	11.2	12.9	HCEP-Van	-0.910492	-0.861465		
7/1/2022 12:15:00 AM	0.614	111	12.743	111	28.442	111	117.4	10.42	111	6.20	111	0.54	111	8.88	320	0.215	210			1021.36819	111	57.5	111	0.16	131	78.9	111	63.52	111	4.57	414		999	8.045	300		999	12.845	210		440	11.1	12.9	HCEP-Van	-0.910898	-0.861886		
7/1/2022 12:30:00 AM	0.617	111	12.660	111	28.452	111	117.2	10.41	111	6.38	111	0.59	111	8.88	320	0.228	210			1021.39183	111	57.9	111	0.16	131	78.7	111	349.03	111	4.17	414		999	8.026	300		999	12.807	210		440	11.1	12.9	HCEP-Van	-0.912026	-0.863105		
7/1/2022 12:45:00 AM	0.629	111	12.414	111	28.506	111	114.9	10.25	111	5.33	111	0.53	111	8.85	320	0.247	210			1021.47857	111	57.3	111	0.16	131	80.7	111	331.13	111	4.36	414		999	8.004	300		999	12.710	210		440	11.1	13.0	HCEP-Van	-0.913311	-0.864521		
7/1/2022 1:00:00 AM	0.618	111	12.394	111	28.510	111	111.3	9.94	111	5.59	111	0.54	111	8.85	320	0.250	210			1021.48530	111	56.8	111	0.16	131	82.8	111	339.63	111	4.53	414		999	7.999	300		999	12.646	210		440	11.1	12.9	HCEP-Van	-0.913564	-0.864824		
7/1/2022 1:15:00 AM	0.619	111	12.518	111	28.487	111	110.9	9.88	111	5.21	111	0.50	111	8.86	320	0.236	210			1021.44457	111	56.4	111	0.16	131	84.2	111	339.86	111	4.69	414		999	8.006	300		999	12.619	210		440	11.1	12.9	HCEP-Van	-0.913179	-0.864419		
7/1/2022 1:30:00 AM	0.620	111	12.422	111	28.484	111	110.9	9.90	111	9.36	111	1.00	111	8.85	320	0.245	210			1021.45988	111	55.9	111	0.16	131	85.7	111	326.66	111	4.60	414		999	8.010	300		999	12.574	210		440	11.1	12.9	HCEP-Van	-0.912971	-0.864267		
7/1/2022 1:45:00 AM	0.623	111	12.448	111	28.491	111	109.9	9.81	111	13.95	111	0.86	111	8.85	320	0.240	210			1021.46034	111	55.9	111	0.16	131	86.4	111	328.95	111	4.74	414		999	8.007	300		999	12.572	210		440	11.1	12.9	HCEP-Van	-0.913153	-0.864382		
7/1/2022 2:00:00 AM	0.619	111	12.499	111	28.480	111	110.2	9.83	111	11.17	111	1.09	111	8.85	320	0.226	210			1021.44326	111	55.7	111	0.16	131	86.6	111	346.45	111	4.87	414		999	8.006	300		999	12.577	210		440	11.1	12.9	HCEP-Van	-0.913221	-0.864418		
7/1/2022 2:15:00 AM	0.625	111	12.505	111	28.481	111	110.5	9.85	111	5.99	111	0.57	111	8.85	320	0.224	210			1021.44232	111	55.4	111	0.16	131	86.8	111	348.83	111	4.51	414		999	7.992	300		999	12.582	210		440	11.1	12.9	HCEP-Van	-0.914026	-0.865210		
7/1/2022 2:30:00 AM	0.618	111	12.569	111	28.439	111	110.9	9.88	111	6.72	111	0.88	111	8.86	320	0.211	210			1021.39810	111	55.2	111	0.16	131	87.2	111	330.81	111	4.55	414		999	7.940	300		999	12.603	210		440	11.1	12.9	HCEP-Van	-0.916927	-0.868042		
7/1/2022 2:45:00 AM	0.623	111	12.657	111	28.419	111	111.9	9.94	111	9.62	111	9.89	111	8.87	320	0.209	210			1021.36698	111	55.2	111	0.16	131	87.3	111	346.50	111	4.38	414		999	8.022	300		999	12.657	210		440	11.1	12.8	HCEP-Van	-0.912312	-0.863358		
7/1/2022 3:00:00 AM	0.619	111	12.564	111	28.409	111	112.6	10.03	111	7.48	111	0.67	111	8.87	320	0.189	210			1021.37608	111	55.0	111	0.16	131	87.5	111	13.23	111	4.13	414		999	7.959	300		999	12.641	210		440	11.1	12.9	HCEP-Van	-0.915878	-0.866970		
7/1/2022 3:15:00 AM	0.621	111	12.592	111	28.396	111	112.3	10.00	111	8.52	111	17.36	111	8.87	320	0.206	210			1021.36098	111	55.2	111	0.16	131	87.7	111	30.78	111	4.00	414		999	7.973	300		999	12.657	210		440	11.1	12.8	HCEP-Van	-0.915065	-0.866137		
