**Legend**
* 
* Marine mooring data provided by King County are preliminary and have not received final approval, unless specified.
* Real-time automatic checks are done to determine if values are outside of sensor ranges or if data are missing, and further data review is performed by data managers on a semi-annual basis. 
* Inaccuracies in the data may be present because of instrument malfunctions.
* Subsequent review may result in significant revisions to the data.
* 
* Data users are cautioned to consider carefully the provisional nature of this data before using it for decisions.
* Prior to using data in publications and for appropriate citation, contact the Marine and Sediment Assessment Group (MarineWQ@kingcounty.gov).
* 
* ----PARAMETERS---
* 
* Starting on Feb. 15, 2017, the SBE HydroCAT-EP sonde will be used at this site for water data. Previously, YSI 6600 V2 sondes were used. The sonde type and unique identifier is stored under ‘Sonde_ID’ column. Satlantic SUNA and SeaFET sensors for are used for nitrate and high-precision pH, respectively.
* Meteorological data collection began in March , 2019 using a Vaisala WXT510 station and RM Young wind monitor HD.
* Parameter names denote measurement unit. Parameters ending in V represent raw voltage values or battery volts. 
* For more details, see mooring specifications: https://green2.kingcounty.gov/marine-buoy/
* 
* Note on the SeaFET: There are several pH parameters reported. The SeaFET measures pH in two ways, using an internal and an external reference. For details, please refer to the SeaFET documentation at www.satlantic.com
* For most users, refer to ‘SeaFET_EXT_pH_wSal’. This value uses the external reference and is automatically recalculated using in-situ salinity.  If salinity data are missing, then the default salinity of 30 PSU is used and pH is qualified as interpolated.
* Methods follow Bresnahan et. al, 2014, Best practices for autonomous measurement of seawater pH with the Durafet, Methods in Oceanography: 44-60.
* For the SUNA nitrate data, refer to ‘SUNA_ Nitrite+Nitrate_N_mg/L_final’ when available, as these data are finalized and, when feasible, corrected for drift following the methods in Pellerin et. al 2013, USGS Techniques and Methods 1-D5
* Site coordinate: Lat 47.53716, Long -122.40612 
* ----QUALIFIER CODES----
* Data for each parameter are followed by a 3-digit qualifier column (where the parameter name is preceded by Qual_). The quality and level of quality control (QC) is denoted for each data value.
* 
*  Summary Qualifier – 1st digit - Denotes status and overall quality of data.
* <1 . . > Finalized – Good – passed secondary review by data manager.
* <2 . . > Provisional – Good – passed initial automatic quality control check.  
* <3 . . > Questionable/suspect data. Use data with much caution.
* <4 . . > Poor/bad data. Avoid using this data.
* <9 . . > Missing data.
*
* Primary Qualifier – 2nd digit – Automatic QC flag.
* <. 0 . > Quality unknown for parameter. Avoid using this data without further review.
* <. 1 . > Passed automatic quality control checks.
* <. 2 . > Sensor failed end check validation after recovery.
* <. 3 . > Value is outside of climatological range by site.
* <. 4 . > Value is outside of measurement range for sensor.
* <. 8 . > Interpolated value, or used an interpolated input value in the calculation. For example, if salinity is missing, then a default salinity is used to calculate pH. 
* <. 9 . > Missing data.
*
* Secondary Qualifier – 3rd digit – Manually applied QC flag after data review by data manager.
* <. . 0> No secondary review completed – Default value.
* <. . 1> Good data, no adjustments made.
* <. . 2> Probably good data, no adjustments made (e.g. sensor failed end check, but previous data looks good).
* <. . 3> Questionable/suspect data (e.g. sensor drift).
* <. . 4> Poor/bad data.
* <. . 5> Value corrected/changed manually.
* <. . 8> Interpolated value, or used an interpolated input value in the calculation. 
* <. . 9> Missing data.
***END***
Date	Depth_m	Qual_Depth	Water_Temperature_degC	Qual_Water_Temperature	Salinity_PSU	Qual_Salinity	Dissolved_Oxygen_%Sat	Dissolved_Oxygen_mg/L	Qual_DO	Chlorophyll_Fluorescence_ug/L	Qual_Chlorophyll_Fluorescence	Turbidity_NTU	Qual_Turbidity	Sonde_pH	Qual_Sonde_pH	SUNA_Nitrite+Nitrate_mgN/L_raw	Qual_SUNA_Nitrite+Nitrate_mgN/L_raw	SUNA_Nitrite+Nitrate_mgN/L_final	Qual_SUNA_Nitrite+Nitrate_mgN/L_final	Density_kg/m^3	Qual_Water_Density	Air_Temperature_F	Qual_Air_Temperature	Surf_PAR_umol/s/sqm	Qual_Surf_PAR	Rel_Humidity_%	Qual_Rel_Hum	Wind_Direction_deg	Qual_Wind_Direction	Wind_Speed_m/sec	Qual_Wind_Speed	SeaFET_External_pH_final_recalc	Qual_SeaFET_External_pH_final_recalc	SeaFET_Internal_pH_raw	Qual_SeaFET_Internal_pH_raw	SeaFET_Internal_pH_recalculated	Qual_SeaFET_Internal_pH_recalculated	SeaFET_Temperature_degC	Qual_SeaFET_Temperature	SeaFET_External_pH_recalc_w_salinity	Qual_SeaFET_External_pH_recalc_w_salinity	Sonde_Batt_V	Logger_Batt_V	Sonde_ID	SEAFET_INT_PH_V	SEAFET_EXT_PH_V	SeaFET_ID	
4/17/2023 12:00:00 AM	0.457	210	8.337	210	29.707	210	90.0	8.72	210	0.94	210	0.28	210	7.95	210	0.351	210			1023.07524	210	43.3	210	0.17	330	73.2	210	171.73	210	8.52	210		999	7.532	300		999	8.435	210	8.786	330	13.8	12.7		-0.941011	-0.893362		
4/17/2023 12:15:00 AM	0.479	210	8.322	210	29.715	210	89.7	8.69	210	0.98	210	0.27	210	7.95	210	0.342	210			1023.08357	210	43.3	210	0.17	330	72.5	210	167.38	210	6.76	210		999	7.493	300		999	8.415	210	8.747	330	13.8	12.7		-0.943164	-0.895575		
4/17/2023 12:30:00 AM	0.473	210	8.320	210	29.721	210	89.4	8.67	210	0.90	210	0.29	210	7.95	210	0.337	210			1023.08802	210	43.3	210	0.17	330	73.6	210	168.90	210	7.51	210		999	7.446	300		999	8.406	210	8.700	330	13.8	12.8		-0.945818	-0.898246		
4/17/2023 12:45:00 AM	0.474	210	8.293	210	29.729	210	89.4	8.67	210	0.87	210	0.26	210	7.95	210	0.355	210			1023.09854	210	42.8	210	0.17	330	73.5	210	144.10	210	6.79	210		999	7.446	300		999	8.388	210	8.701	330	13.8	12.7		-0.945804	-0.898223		
4/17/2023 1:00:00 AM	0.451	210	8.285	210	29.733	210	89.2	8.65	210	0.86	210	0.26	210	7.95	210	0.359	210			1023.10260	210	42.4	210	0.17	330	74.5	210	145.42	210	6.47	210		999	7.398	300		999	8.378	210	8.652	330	13.8	12.7		-0.948515	-0.900946		
4/17/2023 1:15:00 AM	0.473	210	8.303	210	29.736	210	89.1	8.64	210	0.88	210	0.29	210	7.95	210	0.351	210			1023.10227	210	42.6	210	0.17	330	72.6	210	150.31	210	5.81	210		999	7.374	300		999	8.374	210	8.628	330	13.8	12.7		-0.949848	-0.902275		
4/17/2023 1:30:00 AM	0.432	210	8.283	210	29.738	210	88.9	8.62	210	0.84	210	0.27	210	7.94	210	0.346	210			1023.10607	210	42.0	210	0.17	330	71.7	210	144.89	210	5.06	210		999	7.405	300		999	8.368	210	8.659	330	13.8	12.7		-0.948129	-0.900551		
4/17/2023 1:45:00 AM	0.465	210	8.285	210	29.715	210	89.2	8.65	210	0.90	210	0.28	210	7.95	210	0.348	210			1023.08828	210	42.4	210	0.17	330	72.5	210	156.00	210	3.87	210		999	7.440	300		999	8.359	210	8.694	330	13.8	12.7		-0.946148	-0.898583		
4/17/2023 2:00:00 AM	0.446	210	8.285	210	29.725	210	89.4	8.67	210	0.95	210	0.29	210	7.95	210	0.354	210			1023.09649	210	42.4	210	0.17	330	72.1	210	156.56	210	3.16	210		999	7.416	300		999	8.358	210	8.669	330	13.8	12.7		-0.947523	-0.899997		
4/17/2023 2:15:00 AM	0.433	210	8.280	210	29.725	210	88.8	8.62	210	0.92	210	0.27	210	7.94	210	0.348	210			1023.09658	210	41.7	210	0.17	330	71.3	210	120.02	210	2.13	210		999	7.425	300		999	8.356	210	8.679	330	13.8	12.7		-0.947002	-0.899431		
4/17/2023 2:30:00 AM	0.440	210	8.254	210	29.733	210	88.9	8.62	210	0.82	210	0.27	210	7.94	210	0.353	210			1023.10585	210	41.1	210	0.17	330	73.5	210	103.70	210	2.97	210		999	7.424	300		999	8.345	210	8.678	330	13.8	12.7		-0.947073	-0.899509		
4/17/2023 2:45:00 AM	0.445	210	8.246	210	29.729	210	88.7	8.61	210	0.88	210	0.26	210	7.94	210	0.358	210			1023.10523	210	41.0	210	0.17	330	72.9	210	88.91	210	2.26	210		999	7.384	300		999	8.341	210	8.639	330	13.8	12.7		-0.949303	-0.901723		
4/17/2023 3:00:00 AM	0.451	210	8.217	210	29.743	210	88.6	8.60	210	0.77	210	0.27	210	7.94	210	0.364	210			1023.12052	210	41.3	210	0.17	330	71.3	210	118.55	210	2.62	210		999	7.352	300		999	8.334	210	8.607	330	13.8	12.7		-0.951065	-0.903514		
4/17/2023 3:15:00 AM	0.452	210	8.233	210	29.733	210	88.8	8.62	210	0.85	210	0.26	210	7.94	210	0.351	210			1023.10976	210	41.9	210	0.17	330	69.6	210	136.18	210	2.63	210		999	7.328	300		999	8.324	210	8.583	330	13.8	12.7		-0.952412	-0.904849		
